accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
339,338,0.9970501474926253,0.0029498525073746312,1,0.6,0.9972432454427084,0.5296875,0.0026041666666666665,1.0,opensemcom,0.25,0,0.528125,mild,0.00012232985711307267
346,344,0.9942196531791907,0.005780346820809248,2,0.6,0.9972432454427084,0.540625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.5375,mild,0.00016982513945549727
352,350,0.9943181818181818,0.005681818181818182,2,0.6,0.9972432454427084,0.55,0.0026041666666666665,1.0,opensemcom,0.25,0,0.546875,mild,0.0002006723269005311
358,356,0.994413407821229,0.00558659217877095,2,0.6,0.9972432454427084,0.559375,0.0026041666666666665,1.0,opensemcom,0.25,0,0.55625,mild,0.00026481572305783675
365,362,0.9917808219178083,0.00821917808219178,3,0.6,0.9972432454427084,0.5703125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.565625,mild,0.0004365377139765795
371,368,0.9919137466307277,0.008086253369272238,3,0.6,0.9972432454427084,0.5796875,0.0026041666666666665,1.0,opensemcom,0.25,0,0.575,mild,0.0009282693592831427
378,375,0.9920634920634921,0.007936507936507936,3,0.6,0.9972432454427084,0.590625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.5859375,mild,0.001688575928565112
384,380,0.9895833333333334,0.010416666666666666,4,0.6,0.9972432454427084,0.6,0.0026041666666666665,1.0,opensemcom,0.25,0,0.59375,mild,0.005837959796190204
390,382,0.9794871794871794,0.020512820512820513,8,0.6,0.9972432454427084,0.609375,0.0026041666666666665,1.0,opensemcom,0.25,0,0.596875,mild,0.22947922497987444
397,383,0.964735516372796,0.03526448362720403,14,0.6,0.9972432454427084,0.6203125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.5984375,mild,0.9678528988361359
403,383,0.9503722084367245,0.04962779156327544,20,0.6,0.9972432454427084,0.6296875,0.0026041666666666665,1.0,opensemcom,0.25,0,0.5984375,mild,0.9976577615737915
409,383,0.9364303178484108,0.06356968215158924,26,0.6,0.9972432454427084,0.6390625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.5984375,mild,0.9993035936355591
416,383,0.9206730769230769,0.07932692307692307,33,0.6,0.9972432454427084,0.65,0.0026041666666666665,1.0,opensemcom,0.25,0,0.5984375,mild,0.9997434675693512
422,384,0.909952606635071,0.09004739336492891,38,0.6,0.9972432454427084,0.659375,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.9999249601364135
429,384,0.8951048951048951,0.1048951048951049,45,0.6,0.9972432454427084,0.6703125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.9999540162086487
435,384,0.8827586206896552,0.11724137931034483,51,0.6,0.9972432454427084,0.6796875,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.9999768877029419
442,384,0.8687782805429864,0.13122171945701358,58,0.6,0.9972432454427084,0.690625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.9999881982803345
448,384,0.8571428571428571,0.14285714285714285,64,0.6,0.9972432454427084,0.7,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.9999939382076264
454,384,0.8458149779735683,0.15418502202643172,70,0.6,0.9972432454427084,0.709375,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.9999953138828278
461,384,0.8329718004338394,0.16702819956616052,77,0.6,0.9972432454427084,0.7203125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.9999959945678711
467,384,0.8222698072805139,0.1777301927194861,83,0.6,0.9972432454427084,0.7296875,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.9999969285726548
474,384,0.810126582278481,0.189873417721519,90,0.6,0.9972432454427084,0.740625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.9999973690509796
480,384,0.8,0.2,96,0.6,0.9972432454427084,0.75,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.9999978244304657
487,384,0.7885010266940452,0.21149897330595482,103,0.6,0.9972432454427084,0.7609375,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.9999984288215638
494,384,0.7773279352226721,0.22267206477732793,110,0.6,0.9972432454427084,0.771875,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.999998927116394
499,384,0.7695390781563126,0.23046092184368738,115,0.6,0.9972432454427084,0.7796875,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.9999990713596344
506,384,0.758893280632411,0.24110671936758893,122,0.6,0.9972432454427084,0.790625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.9999992138147354
516,384,0.7441860465116279,0.2558139534883721,132,0.6,0.9972432454427084,0.80625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.9999994039535522
523,384,0.734225621414914,0.26577437858508607,139,0.6,0.9972432454427084,0.8171875,0.0026041666666666665,1.0,opensemcom,0.25,0,0.6,mild,0.9999995231628418
