accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
441,384,0.8707482993197279,0.1292517006802721,57,0.6,1.0,dino+siglip2+openclip,0.6890625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9996919398443145
448,384,0.8571428571428571,0.14285714285714285,64,0.6,1.0,dino+siglip2+openclip,0.7,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9997585973274659
454,384,0.8458149779735683,0.15418502202643172,70,0.6,1.0,dino+siglip2+openclip,0.709375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9998166731863379
461,384,0.8329718004338394,0.16702819956616052,77,0.6,1.0,dino+siglip2+openclip,0.7203125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9998606143599665
467,384,0.8222698072805139,0.1777301927194861,83,0.6,1.0,dino+siglip2+openclip,0.7296875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9998818771478925
473,384,0.8118393234672304,0.18816067653276955,89,0.6,1.0,dino+siglip2+openclip,0.7390625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.999906902450832
480,384,0.8,0.2,96,0.6,1.0,dino+siglip2+openclip,0.75,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9999231749684078
486,384,0.7901234567901234,0.20987654320987653,102,0.6,1.0,dino+siglip2+openclip,0.759375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9999363350714333
493,384,0.7789046653144016,0.2210953346855984,109,0.6,1.0,dino+siglip2+openclip,0.7703125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9999478097283252
499,384,0.7695390781563126,0.23046092184368738,115,0.6,1.0,dino+siglip2+openclip,0.7796875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9999629049133111
