accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,target_openout,threshold
279,256,0.9175627240143369,0.08243727598566308,23,0.25,0.9977569580078125,dino+siglip2+openclip,0.2724609375,learned_risk_head_only_no_fallback,0.0,1.0,opensemcom_risk_head,0.75,0,0.25,hard,openout<=0.05,0.7828163594007548
302,256,0.847682119205298,0.152317880794702,46,0.25,0.9977569580078125,dino+siglip2+openclip,0.294921875,learned_risk_head_only_no_fallback,0.0,1.0,opensemcom_risk_head,0.75,0,0.25,hard,openout<=0.10,0.9985950648784637
257,252,0.980544747081712,0.019455252918287938,5,0.25,0.9985758463541666,dino+siglip2+openclip,0.2509765625,mixed_open_calibration_no_fallback,0.0,1.0,opensemcom_calibrated,0.75,0,0.24609375,hard,openout<=0.01,0.0767150357083249
257,252,0.980544747081712,0.019455252918287938,5,0.25,0.9985758463541666,dino+siglip2+openclip,0.2509765625,mixed_open_calibration_no_fallback,0.0,1.0,opensemcom_calibrated,0.75,0,0.24609375,hard,openout<=0.02,0.0767150357083249
276,256,0.927536231884058,0.07246376811594203,20,0.25,0.9985758463541666,dino+siglip2+openclip,0.26953125,mixed_open_calibration_no_fallback,0.0,1.0,opensemcom_calibrated,0.75,0,0.25,hard,openout<=0.05,0.867168423951975
300,256,0.8533333333333334,0.14666666666666667,44,0.25,0.9985758463541666,dino+siglip2+openclip,0.29296875,mixed_open_calibration_no_fallback,0.0,1.0,opensemcom_calibrated,0.75,0,0.25,hard,openout<=0.10,0.9822707578822192
257,252,0.980544747081712,0.019455252918287938,5,0.25,0.9985911051432291,dino+siglip2+openclip,0.2509765625,semantic_harq_refine_no_fallback,0.0,1.0,opensemcom_harq_refine,0.75,0,0.24609375,hard,openout<=0.01,0.058125538263589745
257,252,0.980544747081712,0.019455252918287938,5,0.25,0.9985911051432291,dino+siglip2+openclip,0.2509765625,semantic_harq_refine_no_fallback,0.0,1.0,opensemcom_harq_refine,0.75,0,0.24609375,hard,openout<=0.02,0.058125538263589745
278,256,0.920863309352518,0.07913669064748201,22,0.25,0.9985911051432291,dino+siglip2+openclip,0.271484375,semantic_harq_refine_no_fallback,0.0,1.0,opensemcom_harq_refine,0.75,0,0.25,hard,openout<=0.05,0.755246107433177
301,256,0.8504983388704319,0.14950166112956811,45,0.25,0.9985911051432291,dino+siglip2+openclip,0.2939453125,semantic_harq_refine_no_fallback,0.0,1.0,opensemcom_harq_refine,0.75,0,0.25,hard,openout<=0.10,0.9774679266123579
252,251,0.996031746031746,0.003968253968253968,1,0.2490234375,0.9998677571614584,DINOv3,0.24609375,one_vs_rest,0.0,0.99609375,dino_one_vs_rest,0.75,0,0.2451171875,hard,openout<=0.01,0.0416279653322619
252,251,0.996031746031746,0.003968253968253968,1,0.2490234375,0.9998677571614584,DINOv3,0.24609375,one_vs_rest,0.0,0.99609375,dino_one_vs_rest,0.75,0,0.2451171875,hard,openout<=0.02,0.0416279653322619
266,255,0.9586466165413534,0.041353383458646614,11,0.2490234375,0.9998677571614584,DINOv3,0.259765625,one_vs_rest,0.0,0.99609375,dino_one_vs_rest,0.75,0,0.2490234375,hard,openout<=0.05,0.8222713435906592
296,255,0.8614864864864865,0.13851351351351351,41,0.2490234375,0.9998677571614584,DINOv3,0.2890625,one_vs_rest,0.0,0.99609375,dino_one_vs_rest,0.75,0,0.2490234375,hard,openout<=0.10,0.9675301684992489
257,254,0.9883268482490273,0.011673151750972763,3,0.2490234375,0.9996795654296875,SigLIP2,0.2509765625,best_ood:one_vs_rest,0.0,0.99609375,siglip2_best_ood,0.75,0,0.248046875,hard,openout<=0.01,0.032094269952104855
257,254,0.9883268482490273,0.011673151750972763,3,0.2490234375,0.9996795654296875,SigLIP2,0.2509765625,best_ood:one_vs_rest,0.0,0.99609375,siglip2_best_ood,0.75,0,0.248046875,hard,openout<=0.02,0.032094269952104855
272,254,0.9338235294117647,0.0661764705882353,18,0.2490234375,0.9996795654296875,SigLIP2,0.265625,best_ood:one_vs_rest,0.0,0.99609375,siglip2_best_ood,0.75,0,0.248046875,hard,openout<=0.05,0.8415266060450921
295,255,0.864406779661017,0.13559322033898305,40,0.2490234375,0.9996795654296875,SigLIP2,0.2880859375,best_ood:one_vs_rest,0.0,0.99609375,siglip2_best_ood,0.75,0,0.2490234375,hard,openout<=0.10,0.9611104571534007
257,255,0.9922178988326849,0.007782101167315175,2,0.25,0.9996897379557291,OpenCLIP-DFN5B,0.2509765625,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,0.75,0,0.2490234375,hard,openout<=0.01,0.0778258447163546
257,255,0.9922178988326849,0.007782101167315175,2,0.25,0.9996897379557291,OpenCLIP-DFN5B,0.2509765625,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,0.75,0,0.2490234375,hard,openout<=0.02,0.0778258447163546
278,256,0.920863309352518,0.07913669064748201,22,0.25,0.9996897379557291,OpenCLIP-DFN5B,0.271484375,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,0.75,0,0.25,hard,openout<=0.05,0.9104039069574311
302,256,0.847682119205298,0.152317880794702,46,0.25,0.9996897379557291,OpenCLIP-DFN5B,0.294921875,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,0.75,0,0.25,hard,openout<=0.10,0.9820284344192555
90,89,0.9888888888888889,0.011111111111111112,1,0.08984375,0.9999066990110095,dino+siglip2+openclip,0.087890625,learned_selective_risk+semantic_harq_refine_no_fallback,0.0,1.0,opensemcom,0.91,0,0.0869140625,extreme,openout<=0.01,0.0767150357083249
90,89,0.9888888888888889,0.011111111111111112,1,0.08984375,0.9999066990110095,dino+siglip2+openclip,0.087890625,learned_selective_risk+semantic_harq_refine_no_fallback,0.0,1.0,opensemcom,0.91,0,0.0869140625,extreme,openout<=0.02,0.0767150357083249
107,92,0.8598130841121495,0.14018691588785046,15,0.08984375,0.9999066990110095,dino+siglip2+openclip,0.1044921875,learned_selective_risk+semantic_harq_refine_no_fallback,0.0,1.0,opensemcom,0.91,0,0.08984375,extreme,openout<=0.05,0.867168423951975
135,92,0.6814814814814815,0.31851851851851853,43,0.08984375,0.9999066990110095,dino+siglip2+openclip,0.1318359375,learned_selective_risk+semantic_harq_refine_no_fallback,0.0,1.0,opensemcom,0.91,0,0.08984375,extreme,openout<=0.10,0.9822707578822192
87,87,1.0,0.0,0,0.08984375,0.9997434222802761,dino+siglip2+openclip,0.0849609375,learned_risk_head_only_no_fallback,0.0,1.0,opensemcom_risk_head,0.91,0,0.0849609375,extreme,openout<=0.01,9.555963231832723e-05
92,88,0.9565217391304348,0.043478260869565216,4,0.08984375,0.9997434222802761,dino+siglip2+openclip,0.08984375,learned_risk_head_only_no_fallback,0.0,1.0,opensemcom_risk_head,0.91,0,0.0859375,extreme,openout<=0.02,0.0024960606824606657
116,92,0.7931034482758621,0.20689655172413793,24,0.08984375,0.9997434222802761,dino+siglip2+openclip,0.11328125,learned_risk_head_only_no_fallback,0.0,1.0,opensemcom_risk_head,0.91,0,0.08984375,extreme,openout<=0.05,0.7828163594007548
153,92,0.6013071895424836,0.39869281045751637,61,0.08984375,0.9997434222802761,dino+siglip2+openclip,0.1494140625,learned_risk_head_only_no_fallback,0.0,1.0,opensemcom_risk_head,0.91,0,0.08984375,extreme,openout<=0.10,0.9985950648784637
90,89,0.9888888888888889,0.011111111111111112,1,0.08984375,0.9999066990110095,dino+siglip2+openclip,0.087890625,mixed_open_calibration_no_fallback,0.0,1.0,opensemcom_calibrated,0.91,0,0.0869140625,extreme,openout<=0.01,0.0767150357083249
90,89,0.9888888888888889,0.011111111111111112,1,0.08984375,0.9999066990110095,dino+siglip2+openclip,0.087890625,mixed_open_calibration_no_fallback,0.0,1.0,opensemcom_calibrated,0.91,0,0.0869140625,extreme,openout<=0.02,0.0767150357083249
107,92,0.8598130841121495,0.14018691588785046,15,0.08984375,0.9999066990110095,dino+siglip2+openclip,0.1044921875,mixed_open_calibration_no_fallback,0.0,1.0,opensemcom_calibrated,0.91,0,0.08984375,extreme,openout<=0.05,0.867168423951975
135,92,0.6814814814814815,0.31851851851851853,43,0.08984375,0.9999066990110095,dino+siglip2+openclip,0.1318359375,mixed_open_calibration_no_fallback,0.0,1.0,opensemcom_calibrated,0.91,0,0.08984375,extreme,openout<=0.10,0.9822707578822192
90,89,0.9888888888888889,0.011111111111111112,1,0.08984375,0.9999300242582572,dino+siglip2+openclip,0.087890625,semantic_harq_refine_no_fallback,0.0,1.0,opensemcom_harq_refine,0.91,0,0.0869140625,extreme,openout<=0.01,0.058125538263589745
90,89,0.9888888888888889,0.011111111111111112,1,0.08984375,0.9999300242582572,dino+siglip2+openclip,0.087890625,semantic_harq_refine_no_fallback,0.0,1.0,opensemcom_harq_refine,0.91,0,0.0869140625,extreme,openout<=0.02,0.058125538263589745
112,92,0.8214285714285714,0.17857142857142858,20,0.08984375,0.9999300242582572,dino+siglip2+openclip,0.109375,semantic_harq_refine_no_fallback,0.0,1.0,opensemcom_harq_refine,0.91,0,0.08984375,extreme,openout<=0.05,0.755246107433177
139,92,0.6618705035971223,0.3381294964028777,47,0.08984375,0.9999300242582572,dino+siglip2+openclip,0.1357421875,semantic_harq_refine_no_fallback,0.0,1.0,opensemcom_harq_refine,0.91,0,0.08984375,extreme,openout<=0.10,0.9774679266123579
92,90,0.9782608695652174,0.021739130434782608,2,0.0888671875,0.9999650121291286,DINOv3,0.08984375,one_vs_rest,0.0,0.9891304347826086,dino_one_vs_rest,0.91,0,0.087890625,extreme,openout<=0.01,0.0416279653322619
92,90,0.9782608695652174,0.021739130434782608,2,0.0888671875,0.9999650121291286,DINOv3,0.08984375,one_vs_rest,0.0,0.9891304347826086,dino_one_vs_rest,0.91,0,0.087890625,extreme,openout<=0.02,0.0416279653322619
110,91,0.8272727272727273,0.17272727272727273,19,0.0888671875,0.9999650121291286,DINOv3,0.107421875,one_vs_rest,0.0,0.9891304347826086,dino_one_vs_rest,0.91,0,0.0888671875,extreme,openout<=0.05,0.8222713435906592
155,91,0.5870967741935483,0.4129032258064516,64,0.0888671875,0.9999650121291286,DINOv3,0.1513671875,one_vs_rest,0.0,0.9891304347826086,dino_one_vs_rest,0.91,0,0.0888671875,extreme,openout<=0.10,0.9675301684992489
92,91,0.9891304347826086,0.010869565217391304,1,0.08984375,0.9995451576786714,SigLIP2,0.08984375,best_ood:one_vs_rest,0.0,1.0,siglip2_best_ood,0.91,0,0.0888671875,extreme,openout<=0.01,0.032094269952104855
92,91,0.9891304347826086,0.010869565217391304,1,0.08984375,0.9995451576786714,SigLIP2,0.08984375,best_ood:one_vs_rest,0.0,1.0,siglip2_best_ood,0.91,0,0.0888671875,extreme,openout<=0.02,0.032094269952104855
112,91,0.8125,0.1875,21,0.08984375,0.9995451576786714,SigLIP2,0.109375,best_ood:one_vs_rest,0.0,1.0,siglip2_best_ood,0.91,0,0.0888671875,extreme,openout<=0.05,0.8415266060450921
143,92,0.6433566433566433,0.35664335664335667,51,0.08984375,0.9995451576786714,SigLIP2,0.1396484375,best_ood:one_vs_rest,0.0,1.0,siglip2_best_ood,0.91,0,0.08984375,extreme,openout<=0.10,0.9611104571534007
92,90,0.9782608695652174,0.021739130434782608,2,0.08984375,0.9998950363873857,OpenCLIP-DFN5B,0.08984375,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,0.91,0,0.087890625,extreme,openout<=0.01,0.0778258447163546
92,90,0.9782608695652174,0.021739130434782608,2,0.08984375,0.9998950363873857,OpenCLIP-DFN5B,0.08984375,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,0.91,0,0.087890625,extreme,openout<=0.02,0.0778258447163546
