target_openout,severity,method,seeds,semantic_goodput_mean,semantic_goodput_std,accepted_open_outage_mean,accepted_open_outage_std,coverage_mean,known_id_accuracy_mean,auroc_mean,fpr95_mean,accepted_mean
0.1,hard,mahalanobis,3,0.1904296875,0.015223102800898336,0.09566598593147264,0.002908367591561079,0.21061197916666666,0.99609375,0.9780442979600695,0.13541666666666666,215.66666666666666
0.1,hard,msp,3,0.23307291666666666,0.01462672001214907,0.09262998563592216,0.005649212877814254,0.2568359375,0.99609375,0.981475830078125,0.040364583333333336,263.0
0.1,hard,one_vs_rest,3,0.2490234375,0.0016914558667664816,0.041353383458646614,0.006511469201386757,0.259765625,0.99609375,0.999967787000868,0.0,266.0
0.1,hard,openmax,3,0.20247395833333334,0.009584916578343396,0.09442911575351465,0.005245535555703934,0.2236328125,0.99609375,0.9863535563151041,0.13020833333333334,229.0
0.1,hard,opensemcom,3,0.24739583333333334,0.001491723859035104,0.060209187227997785,0.023576330881277918,0.2633463541666667,0.99609375,0.9976611667209202,0.006510416666666667,269.6666666666667
0.1,medium,energy,3,0.4133184523809524,0.005617436335766907,0.09453773077324597,0.004859000883152112,0.45647321428571425,0.9965277777777778,0.9826524522569443,0.044270833333333336,409.0
0.1,medium,mahalanobis,3,0.38690476190476186,0.014862339550177218,0.09333421816391396,0.001999562877949043,0.42671130952380953,0.9965277777777778,0.9764912923177084,0.17361111111111108,382.3333333333333
0.1,medium,msp,3,0.4133184523809524,0.005617436335766907,0.09453773077324597,0.004859000883152112,0.45647321428571425,0.9965277777777778,0.9809536404079862,0.044270833333333336,409.0
0.1,medium,one_vs_rest,3,0.4270833333333333,0.0025774565588822487,0.006060606060606061,0.005998444355216892,0.4296875,0.9965277777777778,0.999969482421875,0.0,385.0
0.1,medium,openmax,3,0.42596726190476186,0.0023232879458327245,0.08678673830992628,0.01634662550252917,0.46651785714285715,0.9965277777777778,0.9883032904730903,0.0954861111111111,418.0
0.1,medium,opensemcom,3,0.4255952380952381,0.0017048272674686966,0.08067561381483686,0.026914419161085182,0.46316964285714285,0.9973958333333334,0.9969940185546875,0.006944444444444444,415.0
0.1,medium,vim,1,0.0546875,0.0,0.09259259259259259,0.0,0.060267857142857144,0.9895833333333334,0.5179189046223959,0.7369791666666666,54.0
0.1,mild,energy,3,0.5875,0.005633673867912502,0.08130134170979268,0.01504871732947588,0.6395833333333333,0.9965277777777778,0.9818352593315972,0.04340277777777777,409.3333333333333
0.1,mild,mahalanobis,3,0.5765625000000001,0.013887803777055636,0.09411209265403005,0.0031663786870029208,0.6364583333333333,0.9965277777777778,0.9741583930121528,0.20920138888888892,407.3333333333333
0.1,mild,msp,3,0.5875,0.005633673867912502,0.08130134170979268,0.01504871732947588,0.6395833333333333,0.9965277777777778,0.9802585177951388,0.04513888888888889,409.3333333333333
0.1,mild,one_vs_rest,3,0.5979166666666667,0.0036084391824351483,0.018803418803418803,0.005921541222457699,0.609375,0.9965277777777778,0.99993896484375,0.0,390.0
0.1,mild,openmax,3,0.5979166666666667,0.0036084391824351483,0.04556381500208368,0.014386972805844408,0.6265625,0.9965277777777778,0.9884134928385416,0.07118055555555557,401.0
0.1,mild,opensemcom,3,0.5979166666666665,0.0023867581744561397,0.08450297727548912,0.005369719607297018,0.6531250000000001,0.9973958333333334,0.9970550537109375,0.006944444444444444,418.0
