accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,goodput_per_latency,goodput_per_resource,latency_per_sample,latency_units,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,retransmission_rate,seed,semantic_goodput,target_openout,task
115,115,1.0,0.0,0,0.996875,0.999725341796875,0.1796875,0.0,0.5227272727272727,0.6036745406824147,0.34375,220.0,ensemble_detector,0.0,0.8203125,0.3,0.29765625,190.5,0.0,0,0.1796875,0.05,full-open-mild
0,0,0.0,0.0,0,0.9421875,0.9088295605323469,0.0,0.4037433155080214,0.0,0.0,0.2,128.0,deepjscc_pca,0.0,1.0,0.3,0.1,64.0,0.0,0,0.0,0.05,full-open-mild
112,112,1.0,0.0,0,0.9953125,0.9997456868489584,0.175,0.0,0.5147058823529411,0.5343511450381679,0.34,217.60000000000002,witt_context_style,0.0,0.825,0.3,0.3275,209.6,0.0,0,0.175,0.05,full-open-mild
112,112,1.0,0.0,0,0.9953125,0.9997456868489584,0.175,0.0,0.5147058823529411,0.48275862068965514,0.34,217.60000000000002,fixed_refine_all,0.0,0.825,0.3,0.36250000000000004,232.00000000000003,0.0,0,0.175,0.05,full-open-mild
116,116,1.0,0.0,0,0.6,0.9998982747395834,0.18125,0.0,0.5253623188405797,0.605427974947808,0.34500000000000003,220.8,opensemcom_receiver_only,0.0,0.81875,0.3,0.299375,191.6,0.0,0,0.18125,0.05,full-open-mild
108,108,1.0,0.0,0,0.6,0.9998881022135416,0.16875,0.0,0.503731343283582,0.5908096280087527,0.335,214.4,opensemcom_no_channel,0.0,0.83125,0.3,0.285625,182.8,0.0,0,0.16875,0.05,full-open-mild
254,254,1.0,0.0,0,0.6,0.9998982747395834,0.396875,0.0,0.7669082125603865,0.8680792891319207,0.5175,331.2,opensemcom_progressive,0.0,0.603125,0.3,0.4571875,292.6,0.0,0,0.396875,0.05,full-open-mild
343,342,0.9970845481049563,0.0029154518950437317,1,0.98125,0.9910913592272413,0.5359375,0.013089005235602094,0.8499005964214712,0.9176281191306681,0.6287499999999999,402.4,dino_detector,0.0,0.4640625,0.45,0.5823437499999999,372.7,0.0,0,0.534375,0.05,full-open-mild
353,353,1.0,0.0,0,0.996875,0.999725341796875,0.5515625,0.0,0.8601364522417154,0.7804554499226178,0.64125,410.4,ensemble_detector,0.0,0.4484375,0.45,0.70671875,452.29999999999995,0.0,0,0.5515625,0.05,full-open-mild
0,0,0.0,0.0,0,0.9421875,0.9088295605323469,0.0,0.4037433155080214,0.0,0.0,0.2,128.0,deepjscc_pca,0.0,1.0,0.45,0.1,64.0,0.0,0,0.0,0.05,full-open-mild
