accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
851,384,0.4512338425381904,0.5487661574618097,467,0.42857142857142855,0.9607950846354166,0.9497767857142857,0.20833333333333334,1.0,openmax,0.5,1,0.42857142857142855,medium,0.9992355072793215
896,384,0.42857142857142855,0.5714285714285714,512,0.42857142857142855,0.9607950846354166,1.0,0.20833333333333334,1.0,openmax,0.5,1,0.42857142857142855,medium,1.0
896,384,0.42857142857142855,0.5714285714285714,512,0.42857142857142855,0.9607950846354166,1.0,0.20833333333333334,1.0,openmax,0.5,1,0.42857142857142855,medium,1.0
896,384,0.42857142857142855,0.5714285714285714,512,0.42857142857142855,0.9607950846354166,1.0,0.20833333333333334,1.0,openmax,0.5,1,0.42857142857142855,medium,1.0
896,384,0.42857142857142855,0.5714285714285714,512,0.42857142857142855,0.9607950846354166,1.0,0.20833333333333334,1.0,openmax,0.5,1,0.42857142857142855,medium,1.0
896,384,0.42857142857142855,0.5714285714285714,512,0.42857142857142855,0.9607950846354166,1.0,0.20833333333333334,1.0,openmax,0.5,1,0.42857142857142855,medium,1.0
45,40,0.8888888888888888,0.1111111111111111,5,0.42857142857142855,0.54339599609375,0.05022321428571429,0.7239583333333334,1.0,vim,0.5,1,0.044642857142857144,medium,0.0
45,40,0.8888888888888888,0.1111111111111111,5,0.42857142857142855,0.54339599609375,0.05022321428571429,0.7239583333333334,1.0,vim,0.5,1,0.044642857142857144,medium,0.0
45,40,0.8888888888888888,0.1111111111111111,5,0.42857142857142855,0.54339599609375,0.05022321428571429,0.7239583333333334,1.0,vim,0.5,1,0.044642857142857144,medium,0.0
45,40,0.8888888888888888,0.1111111111111111,5,0.42857142857142855,0.54339599609375,0.05022321428571429,0.7239583333333334,1.0,vim,0.5,1,0.044642857142857144,medium,0.0
45,40,0.8888888888888888,0.1111111111111111,5,0.42857142857142855,0.54339599609375,0.05022321428571429,0.7239583333333334,1.0,vim,0.5,1,0.044642857142857144,medium,0.0
45,40,0.8888888888888888,0.1111111111111111,5,0.42857142857142855,0.54339599609375,0.05022321428571429,0.7239583333333334,1.0,vim,0.5,1,0.044642857142857144,medium,0.0002608136783237569
55,50,0.9090909090909091,0.09090909090909091,5,0.42857142857142855,0.54339599609375,0.06138392857142857,0.7239583333333334,1.0,vim,0.5,1,0.05580357142857143,medium,0.00892009399831295
64,58,0.90625,0.09375,6,0.42857142857142855,0.54339599609375,0.07142857142857142,0.7239583333333334,1.0,vim,0.5,1,0.06473214285714286,medium,0.013997799716889858
72,66,0.9166666666666666,0.08333333333333333,6,0.42857142857142855,0.54339599609375,0.08035714285714286,0.7239583333333334,1.0,vim,0.5,1,0.07366071428571429,medium,0.023158583417534868
82,74,0.9024390243902439,0.0975609756097561,8,0.42857142857142855,0.54339599609375,0.09151785714285714,0.7239583333333334,1.0,vim,0.5,1,0.08258928571428571,medium,0.035808827728033066
90,80,0.8888888888888888,0.1111111111111111,10,0.42857142857142855,0.54339599609375,0.10044642857142858,0.7239583333333334,1.0,vim,0.5,1,0.08928571428571429,medium,0.04353403300046921
100,90,0.9,0.1,10,0.42857142857142855,0.54339599609375,0.11160714285714286,0.7239583333333334,1.0,vim,0.5,1,0.10044642857142858,medium,0.05481203645467758
108,96,0.8888888888888888,0.1111111111111111,12,0.42857142857142855,0.54339599609375,0.12053571428571429,0.7239583333333334,1.0,vim,0.5,1,0.10714285714285714,medium,0.07402383387088773
117,102,0.8717948717948718,0.1282051282051282,15,0.42857142857142855,0.54339599609375,0.13058035714285715,0.7239583333333334,1.0,vim,0.5,1,0.11383928571428571,medium,0.09002590179443361
126,104,0.8253968253968254,0.1746031746031746,22,0.42857142857142855,0.54339599609375,0.140625,0.7239583333333334,1.0,vim,0.5,1,0.11607142857142858,medium,0.11565266326069833
136,108,0.7941176470588235,0.20588235294117646,28,0.42857142857142855,0.54339599609375,0.15178571428571427,0.7239583333333334,1.0,vim,0.5,1,0.12053571428571429,medium,0.14396177232265472
145,114,0.7862068965517242,0.21379310344827587,31,0.42857142857142855,0.54339599609375,0.16183035714285715,0.7239583333333334,1.0,vim,0.5,1,0.12723214285714285,medium,0.16277500987052917
153,118,0.7712418300653595,0.22875816993464052,35,0.42857142857142855,0.54339599609375,0.17075892857142858,0.7239583333333334,1.0,vim,0.5,1,0.13169642857142858,medium,0.1831635862588883
162,124,0.7654320987654321,0.2345679012345679,38,0.42857142857142855,0.54339599609375,0.18080357142857142,0.7239583333333334,1.0,vim,0.5,1,0.13839285714285715,medium,0.19834288954734802
171,128,0.7485380116959064,0.25146198830409355,43,0.42857142857142855,0.54339599609375,0.19084821428571427,0.7239583333333334,1.0,vim,0.5,1,0.14285714285714285,medium,0.21745261549949646
180,131,0.7277777777777777,0.2722222222222222,49,0.42857142857142855,0.54339599609375,0.20089285714285715,0.7239583333333334,1.0,vim,0.5,1,0.14620535714285715,medium,0.24954964220523834
188,133,0.7074468085106383,0.2925531914893617,55,0.42857142857142855,0.54339599609375,0.20982142857142858,0.7239583333333334,1.0,vim,0.5,1,0.1484375,medium,0.2669661268591881
198,135,0.6818181818181818,0.3181818181818182,63,0.42857142857142855,0.54339599609375,0.22098214285714285,0.7239583333333334,1.0,vim,0.5,1,0.15066964285714285,medium,0.2844051718711853
206,137,0.6650485436893204,0.33495145631067963,69,0.42857142857142855,0.54339599609375,0.22991071428571427,0.7239583333333334,1.0,vim,0.5,1,0.15290178571428573,medium,0.29637519270181656
215,138,0.641860465116279,0.3581395348837209,77,0.42857142857142855,0.54339599609375,0.23995535714285715,0.7239583333333334,1.0,vim,0.5,1,0.15401785714285715,medium,0.3038779139518738
224,139,0.6205357142857143,0.3794642857142857,85,0.42857142857142855,0.54339599609375,0.25,0.7239583333333334,1.0,vim,0.5,1,0.15513392857142858,medium,0.31601864099502563
233,140,0.6008583690987125,0.39914163090128757,93,0.42857142857142855,0.54339599609375,0.26004464285714285,0.7239583333333334,1.0,vim,0.5,1,0.15625,medium,0.3362027198076249
242,143,0.5909090909090909,0.4090909090909091,99,0.42857142857142855,0.54339599609375,0.2700892857142857,0.7239583333333334,1.0,vim,0.5,1,0.15959821428571427,medium,0.3413692608475685
251,144,0.5737051792828686,0.4262948207171315,107,0.42857142857142855,0.54339599609375,0.28013392857142855,0.7239583333333334,1.0,vim,0.5,1,0.16071428571428573,medium,0.3565357565879822
260,145,0.5576923076923077,0.4423076923076923,115,0.42857142857142855,0.54339599609375,0.29017857142857145,0.7239583333333334,1.0,vim,0.5,1,0.16183035714285715,medium,0.3665881961584091
