target_openout,severity,method,seeds,semantic_goodput_mean,semantic_goodput_std,accepted_open_outage_mean,accepted_open_outage_std,coverage_mean,accepted_mean,known_id_accuracy_mean,auroc_mean,fpr95_mean
0.05,mild,energy,3,0.5786458333333333,0.0078644108700737,0.04555288461538461,0.006153068819427753,0.6062500000000001,388.0,0.9965277777777778,0.9818352593315973,0.04340277777777777
0.05,mild,mahalanobis,3,0.5979166666666667,0.0036084391824351483,0.03031712200477944,0.013878547359415221,0.6166666666666667,394.6666666666667,0.9965277777777778,0.9989454481336807,0.0
0.05,mild,msp,3,0.578125,0.007160274523368493,0.04640758547008547,0.004676415047199874,0.6062500000000001,388.0,0.9965277777777778,0.980255126953125,0.04513888888888889
0.05,mild,one_vs_rest,3,0.5979166666666667,0.0036084391824351483,0.024590410988395872,0.008728042168576988,0.6130208333333333,392.3333333333333,0.9965277777777778,0.9997999403211805,0.0
0.05,mild,openmax,3,0.5979166666666667,0.0036084391824351483,0.04090438420494486,0.00738927268494929,0.6234375,399.0,0.9965277777777778,0.9977213541666666,0.006944444444444444
0.05,mild,opensemcom,3,0.5989583333333334,0.001804219591217542,0.028637860879674484,0.011750795821916824,0.6166666666666667,394.6666666666667,0.9982638888888888,0.9997999403211805,0.0
0.05,mild,receiver_only,3,0.59375,0.005633673867912456,0.03138280694955758,0.011840890791149835,0.6130208333333333,392.3333333333333,0.9982638888888888,0.9957038031684027,0.008680555555555554
0.1,extreme,energy,2,0.0458984375,0.0,0.09615384615384616,0.0,0.05078125,52.0,1.0,0.9887164116439634,0.03260869565217391
0.1,extreme,mahalanobis,3,0.08365885416666667,0.002032876952603645,0.07885304659498209,0.022383505370603577,0.0908203125,93.0,0.9963768115942028,0.998950363873857,0.0
0.1,extreme,msp,2,0.0458984375,0.0,0.09615384615384616,0.0,0.05078125,52.0,1.0,0.9881624370218325,0.03804347826086957
0.1,extreme,one_vs_rest,3,0.0888671875,0.0016914558667664816,0.02150537634408602,0.018624202231923414,0.0908203125,93.0,0.9963768115942028,0.9998056229396032,0.0
0.1,extreme,openmax,3,0.08365885416666667,0.0014917238590351043,0.07885304659498207,0.016425002490881146,0.0908203125,93.0,0.9963768115942028,0.9975119736269203,0.0036231884057971015
0.1,extreme,opensemcom,3,0.0888671875,0.0016914558667664816,0.02150537634408602,0.018624202231923414,0.0908203125,93.0,0.9963768115942028,0.9998056229396032,0.0
0.1,extreme,receiver_only,3,0.08561197916666667,0.002457628396898031,0.057347670250896064,0.027060338477672943,0.0908203125,93.0,0.9963768115942028,0.9966120078372831,0.0036231884057971015
0.1,hard,energy,3,0.23307291666666666,0.01462672001214907,0.09262998563592216,0.005649212877814254,0.2568359375,263.0,0.99609375,0.9835578070746528,0.037760416666666664
0.1,hard,mahalanobis,3,0.248046875,0.001953125,0.08303249097472924,0.0072202166064982,0.2705078125,277.0,0.99609375,0.998689439561632,0.0013020833333333333
0.1,hard,msp,3,0.23307291666666666,0.01462672001214907,0.09262998563592216,0.005649212877814254,0.2568359375,263.0,0.99609375,0.98150634765625,0.040364583333333336
0.1,hard,one_vs_rest,3,0.2490234375,0.0016914558667664816,0.07942238267148015,0.00625289100205371,0.2705078125,277.0,0.99609375,0.9997948540581597,0.0
0.1,hard,openmax,3,0.24446614583333334,0.0020328769526036456,0.08392823213267826,0.01419598446922929,0.2669270833333333,273.3333333333333,0.99609375,0.9975162082248263,0.00390625
0.1,hard,opensemcom,3,0.24934895833333334,0.0011276372445109878,0.07821901323706378,0.004168594001369142,0.2705078125,277.0,0.9973958333333334,0.9997948540581597,0.0
0.1,hard,receiver_only,3,0.24544270833333334,0.003139209232094061,0.0675786940274875,0.02823909419823507,0.2633463541666667,269.6666666666667,0.9973958333333334,0.9966532389322916,0.009114583333333334
0.1,medium,energy,3,0.4136904761904762,0.006146842128667516,0.09372866928457284,0.006087597116942179,0.45647321428571425,409.0,0.9965277777777778,0.9826541476779513,0.04513888888888889
0.1,medium,mahalanobis,3,0.4270833333333333,0.0025774565588822487,0.050065671852543826,0.026266547337435244,0.44977678571428575,403.0,0.9965277777777778,0.9990997314453125,0.0008680555555555555
