accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,coverage,goodput_per_resource,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,seed,semantic_goodput,target_openout,task
354,353,0.9971751412429378,0.002824858757062147,1,0.9899553571428571,0.3950892857142857,0.7369519832985386,ensemble_detector,0.0,0.6049107142857143,0.8,0.5345982142857143,479.0,0,0.3939732142857143,0.02,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.0,0.0,deepjscc_pca,0.0,1.0,0.8,0.1,89.60000000000001,0,0.0,0.02,full-open
353,352,0.9971671388101983,0.0028328611898017,1,0.9888392857142857,0.3939732142857143,0.6417502278942571,witt_context_style,0.0,0.6060267857142857,0.8,0.6121651785714286,548.5,0,0.39285714285714285,0.02,full-open
353,352,0.9971671388101983,0.0028328611898017,1,0.9888392857142857,0.3939732142857143,0.5685672750767242,fixed_refine_all,0.0,0.6060267857142857,0.8,0.6909598214285715,619.1,0,0.39285714285714285,0.02,full-open
367,365,0.9945504087193461,0.005449591280653951,2,0.9732142857142857,0.4095982142857143,0.6855747558226898,opensemcom_progressive,0.14397321428571427,0.5904017857142857,0.8,0.5941964285714285,532.4,0,0.40736607142857145,0.02,full-open
263,262,0.9961977186311787,0.0038022813688212928,1,0.9732142857142857,0.2935267857142857,0.8029420778424762,dino_detector,0.0,0.7064732142857143,1.0,0.36417410714285714,326.3,0,0.2924107142857143,0.02,full-open
354,353,0.9971751412429378,0.002824858757062147,1,0.9899553571428571,0.3950892857142857,0.7369519832985386,ensemble_detector,0.0,0.6049107142857143,1.0,0.5345982142857143,479.0,0,0.3939732142857143,0.02,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.0,0.0,deepjscc_pca,0.0,1.0,1.0,0.1,89.60000000000001,0,0.0,0.02,full-open
353,352,0.9971671388101983,0.0028328611898017,1,0.9888392857142857,0.3939732142857143,0.6417502278942571,witt_context_style,0.0,0.6060267857142857,1.0,0.6121651785714286,548.5,0,0.39285714285714285,0.02,full-open
353,352,0.9971671388101983,0.0028328611898017,1,0.9888392857142857,0.3939732142857143,0.5685672750767242,fixed_refine_all,0.0,0.6060267857142857,1.0,0.6909598214285715,619.1,0,0.39285714285714285,0.02,full-open
367,365,0.9945504087193461,0.005449591280653951,2,0.9732142857142857,0.4095982142857143,0.6855747558226898,opensemcom_progressive,0.14397321428571427,0.5904017857142857,1.0,0.5941964285714285,532.4,0,0.40736607142857145,0.02,full-open
344,342,0.9941860465116279,0.005813953488372093,2,0.9732142857142857,0.38392857142857145,0.8567134268537074,dino_detector,0.0,0.6160714285714286,0.6,0.44553571428571426,399.2,0,0.38169642857142855,0.05,full-open
377,373,0.9893899204244032,0.010610079575596816,4,0.9899553571428571,0.42075892857142855,0.7396391037081104,ensemble_detector,0.0,0.5792410714285714,0.6,0.5628348214285713,504.29999999999995,0,0.41629464285714285,0.05,full-open
46,46,1.0,0.0,0,0.9274553571428571,0.05133928571428571,0.3924914675767918,deepjscc_pca,0.0,0.9486607142857143,0.6,0.1308035714285714,117.19999999999999,0,0.05133928571428571,0.05,full-open
377,373,0.9893899204244032,0.010610079575596816,4,0.9888392857142857,0.42075892857142855,0.6434362601345525,witt_context_style,0.0,0.5792410714285714,0.6,0.646986607142857,579.6999999999999,0,0.41629464285714285,0.05,full-open
377,373,0.9893899204244032,0.010610079575596816,4,0.9888392857142857,0.42075892857142855,0.5693787208059838,fixed_refine_all,0.0,0.5792410714285714,0.6,0.7311383928571429,655.1,0,0.41629464285714285,0.05,full-open
382,378,0.9895287958115183,0.010471204188481676,4,0.9720982142857143,0.4263392857142857,0.6985769728331177,opensemcom_progressive,0.11160714285714286,0.5736607142857143,0.6,0.60390625,541.1,0,0.421875,0.05,full-open
344,342,0.9941860465116279,0.005813953488372093,2,0.9732142857142857,0.38392857142857145,0.8567134268537074,dino_detector,0.0,0.6160714285714286,0.8,0.44553571428571426,399.2,0,0.38169642857142855,0.05,full-open
377,373,0.9893899204244032,0.010610079575596816,4,0.9899553571428571,0.42075892857142855,0.7396391037081104,ensemble_detector,0.0,0.5792410714285714,0.8,0.5628348214285713,504.29999999999995,0,0.41629464285714285,0.05,full-open
46,46,1.0,0.0,0,0.9274553571428571,0.05133928571428571,0.3924914675767918,deepjscc_pca,0.0,0.9486607142857143,0.8,0.1308035714285714,117.19999999999999,0,0.05133928571428571,0.05,full-open
377,373,0.9893899204244032,0.010610079575596816,4,0.9888392857142857,0.42075892857142855,0.6434362601345525,witt_context_style,0.0,0.5792410714285714,0.8,0.646986607142857,579.6999999999999,0,0.41629464285714285,0.05,full-open
377,373,0.9893899204244032,0.010610079575596816,4,0.9888392857142857,0.42075892857142855,0.5693787208059838,fixed_refine_all,0.0,0.5792410714285714,0.8,0.7311383928571429,655.1,0,0.41629464285714285,0.05,full-open
382,378,0.9895287958115183,0.010471204188481676,4,0.9720982142857143,0.4263392857142857,0.6985769728331177,opensemcom_progressive,0.11160714285714286,0.5736607142857143,0.8,0.60390625,541.1,0,0.421875,0.05,full-open
344,342,0.9941860465116279,0.005813953488372093,2,0.9732142857142857,0.38392857142857145,0.8567134268537074,dino_detector,0.0,0.6160714285714286,1.0,0.44553571428571426,399.2,0,0.38169642857142855,0.05,full-open
377,373,0.9893899204244032,0.010610079575596816,4,0.9899553571428571,0.42075892857142855,0.7396391037081104,ensemble_detector,0.0,0.5792410714285714,1.0,0.5628348214285713,504.29999999999995,0,0.41629464285714285,0.05,full-open
46,46,1.0,0.0,0,0.9274553571428571,0.05133928571428571,0.3924914675767918,deepjscc_pca,0.0,0.9486607142857143,1.0,0.1308035714285714,117.19999999999999,0,0.05133928571428571,0.05,full-open
377,373,0.9893899204244032,0.010610079575596816,4,0.9888392857142857,0.42075892857142855,0.6434362601345525,witt_context_style,0.0,0.5792410714285714,1.0,0.646986607142857,579.6999999999999,0,0.41629464285714285,0.05,full-open
377,373,0.9893899204244032,0.010610079575596816,4,0.9888392857142857,0.42075892857142855,0.5693787208059838,fixed_refine_all,0.0,0.5792410714285714,1.0,0.7311383928571429,655.1,0,0.41629464285714285,0.05,full-open
382,378,0.9895287958115183,0.010471204188481676,4,0.9720982142857143,0.4263392857142857,0.6985769728331177,opensemcom_progressive,0.11160714285714286,0.5736607142857143,1.0,0.60390625,541.1,0,0.421875,0.05,full-open
376,370,0.9840425531914894,0.015957446808510637,6,0.9732142857142857,0.41964285714285715,0.8644859813084113,dino_detector,0.0,0.5803571428571429,0.6,0.47767857142857145,428.0,0,0.41294642857142855,0.1,full-open
399,384,0.9624060150375939,0.03759398496240601,15,0.9899553571428571,0.4453125,0.7265846736045412,ensemble_detector,0.0,0.5546875,0.6,0.58984375,528.5,0,0.42857142857142855,0.1,full-open
146,141,0.9657534246575342,0.03424657534246575,5,0.9274553571428571,0.16294642857142858,0.7957110609480813,deepjscc_pca,0.0,0.8370535714285714,0.6,0.19776785714285713,177.2,0,0.15736607142857142,0.1,full-open
398,384,0.964824120603015,0.035175879396984924,14,0.9888392857142857,0.44419642857142855,0.6326194398682043,witt_context_style,0.0,0.5558035714285714,0.6,0.677455357142857,606.9999999999999,0,0.42857142857142855,0.1,full-open
377,373,0.9893899204244032,0.010610079575596816,4,0.9888392857142857,0.42075892857142855,0.5693787208059838,fixed_refine_all,0.0,0.5792410714285714,0.6,0.7311383928571429,655.1,0,0.41629464285714285,0.1,full-open
386,378,0.9792746113989638,0.02072538860103627,8,0.9720982142857143,0.43080357142857145,0.7318489835430784,opensemcom_progressive,0.06584821428571429,0.5691964285714286,0.6,0.5764508928571429,516.5,0,0.421875,0.1,full-open
376,370,0.9840425531914894,0.015957446808510637,6,0.9732142857142857,0.41964285714285715,0.8644859813084113,dino_detector,0.0,0.5803571428571429,0.8,0.47767857142857145,428.0,0,0.41294642857142855,0.1,full-open
