cal_goodput,cal_goodput_per_resource,cal_openout,cal_openout_upper,cal_refine_rate,cal_resource_per_sample,method,q1,q2,qr,resource_budget,route,seed,target_openout,task,threshold
0.2907986111111111,,0.002976190476190476,0.013179564488161731,,,opensemcom_receiver_only,,,,0.8,,0,0.02,full-open,0.0003033326796755711
0.2907986111111111,,0.002976190476190476,0.013179564488161731,,,opensemcom_no_channel,,,,0.8,,0,0.02,full-open,0.0003253691647929935
0.3168402777777778,0.7849462365591398,0.005449591280653951,0.01628477923246495,0.024305555555555556,0.4036458333333333,opensemcom_progressive,0.00030484949176936253,0.0011007604000654683,0.04377872380155162,0.8,trained_receiver_dino_fusion_core,0,0.02,full-open,
0.2074652777777778,,0.004166666666666667,0.01838985173122169,,,dino_detector,,,,1.0,,0,0.02,full-open,0.002328984907941099
0.2925347222222222,,0.0,0.00791781673622036,,,ensemble_detector,,,,1.0,,0,0.02,full-open,0.002406134038552529
0.0,,0.0,0.0,,,deepjscc_pca,,,,1.0,,0,0.02,full-open,-9.99967099539866e-07
0.2916666666666667,,0.0,0.007941194533283572,,,witt_context_style,,,,1.0,,0,0.02,full-open,0.00225614609481167
0.2916666666666667,,0.0,0.007941194533283572,,,fixed_refine_all,,,,1.0,,0,0.02,full-open,0.00225614609481167
0.2907986111111111,,0.002976190476190476,0.013179564488161731,,,opensemcom_receiver_only,,,,1.0,,0,0.02,full-open,0.0003033326796755711
0.2907986111111111,,0.002976190476190476,0.013179564488161731,,,opensemcom_no_channel,,,,1.0,,0,0.02,full-open,0.0003253691647929935
0.3168402777777778,0.7849462365591398,0.005449591280653951,0.01628477923246495,0.024305555555555556,0.4036458333333333,opensemcom_progressive,0.00030484949176936253,0.0011007604000654683,0.04377872380155162,1.0,trained_receiver_dino_fusion_core,0,0.02,full-open,
0.2074652777777778,,0.004166666666666667,0.01838985173122169,,,dino_detector,,,,0.3,,0,0.05,full-open,0.002328984907941099
0.16666666666666666,,0.0,0.01381481085789893,,,ensemble_detector,,,,0.3,,0,0.05,full-open,9.627539614946749e-05
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.3,,0,0.05,full-open,-9.99967099539866e-07
0.125,,0.0,0.018335314841679298,,,witt_context_style,,,,0.3,,0,0.05,full-open,4.236566592385311e-05
0.125,,0.0,0.018335314841679298,,,fixed_refine_all,,,,0.3,,0,0.05,full-open,4.236566592385311e-05
0.16666666666666666,,0.0,0.01381481085789893,,,opensemcom_receiver_only,,,,0.3,,0,0.05,full-open,0.00011480099441065899
0.16666666666666666,,0.0,0.01381481085789893,,,opensemcom_no_channel,,,,0.3,,0,0.05,full-open,0.00012006528937150531
0.21614583333333334,0.7338638373121131,0.0,0.01068617853101598,0.0,0.29453125,opensemcom_progressive,0.00028150678884788735,0.00028150678884788735,1.2001852743372416e-07,0.3,dino_channel_fusion_core,0,0.05,full-open,
0.2873263888888889,,0.01488095238095238,0.03019004303343799,,,dino_detector,,,,0.45,,0,0.05,full-open,0.014409756950601456
0.2925347222222222,,0.0,0.00791781673622036,,,ensemble_detector,,,,0.45,,0,0.05,full-open,0.002406134038552529
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.45,,0,0.05,full-open,-9.99967099539866e-07
0.25,,0.0,0.00925248099691217,,,witt_context_style,,,,0.45,,0,0.05,full-open,0.0008687186966857067
0.20833333333333334,,0.0,0.011082469129291077,,,fixed_refine_all,,,,0.45,,0,0.05,full-open,0.0003166290324439276
0.2907986111111111,,0.002976190476190476,0.013179564488161731,,,opensemcom_receiver_only,,,,0.45,,0,0.05,full-open,0.0003033326796755711
0.2907986111111111,,0.002976190476190476,0.013179564488161731,,,opensemcom_no_channel,,,,0.45,,0,0.05,full-open,0.0003253691647929935
0.3315972222222222,0.7864937204035413,0.027989821882951654,0.04517038572124566,0.021701388888888888,0.42161458333333335,opensemcom_progressive,0.0011007604000654683,0.04377872380155162,0.5791499069466328,0.45,trained_receiver_dino_fusion_core,0,0.05,full-open,
0.2873263888888889,,0.01488095238095238,0.03019004303343799,,,dino_detector,,,,0.6,,0,0.05,full-open,0.014409756950601456
0.3255208333333333,,0.0234375,0.03979769930840105,,,ensemble_detector,,,,0.6,,0,0.05,full-open,0.17143622165574274
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.6,,0,0.05,full-open,-9.99967099539866e-07
0.3263888888888889,,0.020833333333333332,0.0365352283226017,,,witt_context_style,,,,0.6,,0,0.05,full-open,0.1817727746804797
0.2916666666666667,,0.0,0.007941194533283572,,,fixed_refine_all,,,,0.6,,0,0.05,full-open,0.00225614609481167
0.3289930555555556,,0.013020833333333334,0.02645086813223863,,,opensemcom_receiver_only,,,,0.6,,0,0.05,full-open,0.004812316694136031
0.328125,,0.015625,0.029872063213804416,,,opensemcom_no_channel,,,,0.6,,0,0.05,full-open,0.006257045293007281
0.3315972222222222,0.7864937204035413,0.027989821882951654,0.04517038572124566,0.021701388888888888,0.42161458333333335,opensemcom_progressive,0.0011007604000654683,0.04377872380155162,0.5791499069466328,0.6,trained_receiver_dino_fusion_core,0,0.05,full-open,
0.2873263888888889,,0.01488095238095238,0.03019004303343799,,,dino_detector,,,,0.8,,0,0.05,full-open,0.014409756950601456
0.3255208333333333,,0.0234375,0.03979769930840105,,,ensemble_detector,,,,0.8,,0,0.05,full-open,0.17143622165574274
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.8,,0,0.05,full-open,-9.99967099539866e-07
0.3263888888888889,,0.020833333333333332,0.0365352283226017,,,witt_context_style,,,,0.8,,0,0.05,full-open,0.1817727746804797
0.3263888888888889,,0.020833333333333332,0.0365352283226017,,,fixed_refine_all,,,,0.8,,0,0.05,full-open,0.1817727746804797
0.3289930555555556,,0.013020833333333334,0.02645086813223863,,,opensemcom_receiver_only,,,,0.8,,0,0.05,full-open,0.004812316694136031
0.328125,,0.015625,0.029872063213804416,,,opensemcom_no_channel,,,,0.8,,0,0.05,full-open,0.006257045293007281
0.3315972222222222,0.7864937204035413,0.027989821882951654,0.04517038572124566,0.021701388888888888,0.42161458333333335,opensemcom_progressive,0.0011007604000654683,0.04377872380155162,0.5791499069466328,0.8,trained_receiver_dino_fusion_core,0,0.05,full-open,
0.2873263888888889,,0.01488095238095238,0.03019004303343799,,,dino_detector,,,,1.0,,0,0.05,full-open,0.014409756950601456
0.3255208333333333,,0.0234375,0.03979769930840105,,,ensemble_detector,,,,1.0,,0,0.05,full-open,0.17143622165574274
0.0,,0.0,0.0,,,deepjscc_pca,,,,1.0,,0,0.05,full-open,-9.99967099539866e-07
0.3263888888888889,,0.020833333333333332,0.0365352283226017,,,witt_context_style,,,,1.0,,0,0.05,full-open,0.1817727746804797
0.3263888888888889,,0.020833333333333332,0.0365352283226017,,,fixed_refine_all,,,,1.0,,0,0.05,full-open,0.1817727746804797
0.3289930555555556,,0.013020833333333334,0.02645086813223863,,,opensemcom_receiver_only,,,,1.0,,0,0.05,full-open,0.004812316694136031
0.328125,,0.015625,0.029872063213804416,,,opensemcom_no_channel,,,,1.0,,0,0.05,full-open,0.006257045293007281
0.3315972222222222,0.7864937204035413,0.027989821882951654,0.04517038572124566,0.021701388888888888,0.42161458333333335,opensemcom_progressive,0.0011007604000654683,0.04377872380155162,0.5791499069466328,1.0,trained_receiver_dino_fusion_core,0,0.05,full-open,
0.2074652777777778,,0.004166666666666667,0.01838985173122169,,,dino_detector,,,,0.3,,0,0.1,full-open,0.002328984907941099
0.16666666666666666,,0.0,0.01381481085789893,,,ensemble_detector,,,,0.3,,0,0.1,full-open,9.627539614946749e-05
0.12065972222222222,,0.041379310344827586,0.07787630527575579,,,deepjscc_pca,,,,0.3,,0,0.1,full-open,0.07965306733186805
0.125,,0.0,0.018335314841679298,,,witt_context_style,,,,0.3,,0,0.1,full-open,4.236566592385311e-05
0.125,,0.0,0.018335314841679298,,,fixed_refine_all,,,,0.3,,0,0.1,full-open,4.236566592385311e-05
0.16666666666666666,,0.0,0.01381481085789893,,,opensemcom_receiver_only,,,,0.3,,0,0.1,full-open,0.00011480099441065899
0.16666666666666666,,0.0,0.01381481085789893,,,opensemcom_no_channel,,,,0.3,,0,0.1,full-open,0.00012006528937150531
