target_openout,severity,method,backbone,detector_control,seeds,semantic_goodput_mean,semantic_goodput_std,accepted_open_outage_mean,accepted_open_outage_std,coverage_mean,accepted_mean,accepted_known_accuracy_mean,known_id_accuracy_mean,auroc_mean,fpr95_mean
0.01,medium,opensemcom_harq_refine,dino+siglip2+openclip,semantic_harq_refine_no_fallback,3,0.4215029761904762,0.004225378233482341,0.003483927420097633,0.003960971334326315,0.42299107142857145,379.0,0.9965160725799024,0.9991319444444445,0.9994625515407987,0.0008680555555555555
0.01,medium,opensemcom_risk_head,dino+siglip2+openclip,learned_risk_head_only_no_fallback,3,0.4170386904761905,0.0006443641397205782,0.006205673758865248,0.0015355060350787915,0.41964285714285715,376.0,0.9937943262411347,0.9991319444444445,0.9991683959960938,0.001736111111111111
0.01,medium,siglip2_best_ood,SigLIP2,best_ood:one_vs_rest,3,0.3976934523809524,0.034169531259538796,0.0056100827789122365,0.0027068919176516998,0.3999255952380953,358.3333333333333,0.9943899172210878,0.9921875,0.9997083875868055,0.0
0.01,mild,dino_one_vs_rest,DINOv3,one_vs_rest,3,0.5942708333333333,0.005915529526875267,0.004367835097001764,0.0015279409060126726,0.5968749999999999,382.0,0.9956321649029981,0.9947916666666666,0.9999932183159722,0.0
0.01,mild,openclip_best_ood,OpenCLIP-DFN5B,best_ood:one_vs_rest,3,0.5979166666666667,0.001804219591217542,0.003472222222222222,0.003007032652029301,0.6,384.0,0.9965277777777777,1.0,0.9992913140190973,0.0008680555555555555
0.01,mild,opensemcom,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine_no_fallback,3,0.5947916666666667,0.006505206248331651,0.0034997795414462075,0.003031179851508386,0.5968749999999999,382.0,0.9965002204585538,0.9991319444444445,0.9995490180121528,0.0008680555555555555
0.01,mild,opensemcom_calibrated,dino+siglip2+openclip,mixed_open_calibration_no_fallback,3,0.5947916666666667,0.006505206248331651,0.0034997795414462075,0.003031179851508386,0.5968749999999999,382.0,0.9965002204585538,0.9991319444444445,0.9995490180121528,0.0008680555555555555
0.01,mild,opensemcom_harq_refine,dino+siglip2+openclip,semantic_harq_refine_no_fallback,3,0.5947916666666667,0.006505206248331651,0.0034997795414462075,0.003031179851508386,0.5968749999999999,382.0,0.9965002204585538,0.9991319444444445,0.9995015462239584,0.0008680555555555555
0.01,mild,opensemcom_risk_head,dino+siglip2+openclip,learned_risk_head_only_no_fallback,3,0.59375,0.005633673867912456,0.005235890652557318,0.00260460404770211,0.5968749999999999,382.0,0.9947641093474426,0.9991319444444445,0.9990166558159722,0.004340277777777777
0.01,mild,siglip2_best_ood,SigLIP2,best_ood:one_vs_rest,3,0.5630208333333334,0.050614710888568136,0.006553485544410903,0.003455031226432145,0.5666666666666665,362.6666666666667,0.9934465144555892,0.9921875,0.9998745388454862,0.0
