accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
154,152,0.987012987012987,0.012987012987012988,2,0.71875,0.9696451822916666,0.6015625,0.140625,0.9583333333333334,msp,0.25,0,0.59375,mild,0.026413392845983333
166,162,0.9759036144578314,0.024096385542168676,4,0.71875,0.9696451822916666,0.6484375,0.140625,0.9583333333333334,msp,0.25,0,0.6328125,mild,0.06867165222181632
179,172,0.9608938547486033,0.03910614525139665,7,0.71875,0.9696451822916666,0.69921875,0.140625,0.9583333333333334,msp,0.25,0,0.671875,mild,0.10191724592908818
192,179,0.9322916666666666,0.06770833333333333,13,0.71875,0.9696451822916666,0.75,0.140625,0.9583333333333334,msp,0.25,0,0.69921875,mild,0.14868836183056394
205,184,0.8975609756097561,0.1024390243902439,21,0.71875,0.9696451822916666,0.80078125,0.140625,0.9583333333333334,msp,0.25,0,0.71875,mild,0.30731288202266005
217,184,0.847926267281106,0.15207373271889402,33,0.71875,0.9696451822916666,0.84765625,0.140625,0.9583333333333334,msp,0.25,0,0.71875,mild,0.4134382645450167
230,184,0.8,0.2,46,0.71875,0.9696451822916666,0.8984375,0.140625,0.9583333333333334,msp,0.25,0,0.71875,mild,0.5274488398895256
243,184,0.757201646090535,0.24279835390946503,59,0.71875,0.9696451822916666,0.94921875,0.140625,0.9583333333333334,msp,0.25,0,0.71875,mild,0.5690306072580243
256,184,0.71875,0.28125,72,0.71875,0.9696451822916666,1.0,0.140625,0.9583333333333334,msp,0.25,0,0.71875,mild,0.7565586614848889
1,1,1.0,0.0,0,0.71875,0.9725748697916666,0.00390625,0.13541666666666666,0.9583333333333334,energy,0.25,0,0.00390625,mild,5.961165772345631e-05
14,14,1.0,0.0,0,0.71875,0.9725748697916666,0.0546875,0.13541666666666666,0.9583333333333334,energy,0.25,0,0.0546875,mild,0.001013837929919243
26,26,1.0,0.0,0,0.71875,0.9725748697916666,0.1015625,0.13541666666666666,0.9583333333333334,energy,0.25,0,0.1015625,mild,0.0017152710711542752
39,39,1.0,0.0,0,0.71875,0.9725748697916666,0.15234375,0.13541666666666666,0.9583333333333334,energy,0.25,0,0.15234375,mild,0.002828560956190875
52,52,1.0,0.0,0,0.71875,0.9725748697916666,0.203125,0.13541666666666666,0.9583333333333334,energy,0.25,0,0.203125,mild,0.004915749357626147
65,65,1.0,0.0,0,0.71875,0.9725748697916666,0.25390625,0.13541666666666666,0.9583333333333334,energy,0.25,0,0.25390625,mild,0.005852752158495129
77,77,1.0,0.0,0,0.71875,0.9725748697916666,0.30078125,0.13541666666666666,0.9583333333333334,energy,0.25,0,0.30078125,mild,0.007960842188272496
90,90,1.0,0.0,0,0.71875,0.9725748697916666,0.3515625,0.13541666666666666,0.9583333333333334,energy,0.25,0,0.3515625,mild,0.01044894735576904
