accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,target_openout,threshold
259,89,0.3436293436293436,0.6563706563706564,170,0.08984375,0.9628370498227281,0.2529296875,0.1956521739130435,1.0,openmax,0.91,0,0.0869140625,extreme,openout<=0.10,0.24097015586928727
0,0,0.0,0.0,0,0.08984375,0.5386441033774958,0.0,0.9239130434782609,1.0,vim,0.91,0,0.0,extreme,openout<=0.05,-9.999999974752427e-07
0,0,0.0,0.0,0,0.08984375,0.5386441033774958,0.0,0.9239130434782609,1.0,vim,0.91,0,0.0,extreme,openout<=0.10,-9.999999974752427e-07
107,90,0.8411214953271028,0.1588785046728972,17,0.08984375,0.9960113827206568,0.1044921875,0.0,1.0,one_vs_rest,0.91,0,0.087890625,extreme,openout<=0.05,0.030276787257872386
116,92,0.7931034482758621,0.20689655172413793,24,0.08984375,0.9960113827206568,0.11328125,0.0,1.0,one_vs_rest,0.91,0,0.08984375,extreme,openout<=0.10,0.11705934311055136
369,367,0.994579945799458,0.005420054200542005,2,0.6,0.9947916666666666,0.5765625,0.018229166666666668,1.0,opensemcom,0.25,1,0.5734375,mild,openout<=0.05,0.005032246857881552
383,375,0.97911227154047,0.020887728459530026,8,0.6,0.9947916666666666,0.5984375,0.018229166666666668,1.0,opensemcom,0.25,1,0.5859375,mild,openout<=0.10,0.5948038172721842
361,352,0.9750692520775623,0.024930747922437674,9,0.6,0.9791056315104166,0.5640625,0.0546875,1.0,msp,0.25,1,0.55,mild,openout<=0.05,0.0033032927926378323
382,365,0.9554973821989529,0.04450261780104712,17,0.6,0.9791056315104166,0.596875,0.0546875,1.0,msp,0.25,1,0.5703125,mild,openout<=0.10,0.014378969101292802
361,352,0.9750692520775623,0.024930747922437674,9,0.6,0.9808247884114584,0.5640625,0.0546875,1.0,energy,0.25,1,0.55,mild,openout<=0.05,0.01438482766776342
381,364,0.9553805774278216,0.04461942257217848,17,0.6,0.9808247884114584,0.5953125,0.0546875,1.0,energy,0.25,1,0.56875,mild,openout<=0.10,0.05002495739425688
319,318,0.9968652037617555,0.003134796238244514,1,0.6,0.9856058756510416,0.4984375,0.09114583333333333,1.0,mahalanobis,0.25,1,0.496875,mild,openout<=0.05,0.3665841105817017
327,324,0.9908256880733946,0.009174311926605505,3,0.6,0.9856058756510416,0.5109375,0.09114583333333333,1.0,mahalanobis,0.25,1,0.50625,mild,openout<=0.10,0.39142937958824553
166,165,0.9939759036144579,0.006024096385542169,1,0.6,0.957061767578125,0.259375,0.2265625,1.0,openmax,0.25,1,0.2578125,mild,openout<=0.05,0.20006900028902005
229,225,0.982532751091703,0.017467248908296942,4,0.6,0.957061767578125,0.3578125,0.2265625,1.0,openmax,0.25,1,0.3515625,mild,openout<=0.10,0.2543203283848472
0,0,0.0,0.0,0,0.6,0.4607187906901042,0.0,0.8072916666666666,1.0,vim,0.25,1,0.0,mild,openout<=0.05,-9.999999974752427e-07
89,76,0.8539325842696629,0.14606741573033707,13,0.6,0.4607187906901042,0.1390625,0.8072916666666666,1.0,vim,0.25,1,0.11875,mild,openout<=0.10,0.07325809448957443
369,367,0.994579945799458,0.005420054200542005,2,0.6,0.9921162923177084,0.5765625,0.0234375,1.0,one_vs_rest,0.25,1,0.5734375,mild,openout<=0.05,0.030751926672087444
377,373,0.9893899204244032,0.010610079575596816,4,0.6,0.9921162923177084,0.5890625,0.0234375,1.0,one_vs_rest,0.25,1,0.5828125,mild,openout<=0.10,0.3305474567261969
372,367,0.9865591397849462,0.013440860215053764,5,0.42857142857142855,0.9941355387369791,0.41517857142857145,0.0234375,1.0,opensemcom,0.5,1,0.4095982142857143,medium,openout<=0.05,0.005032246857881552
402,375,0.9328358208955224,0.06716417910447761,27,0.42857142857142855,0.9941355387369791,0.4486607142857143,0.0234375,1.0,opensemcom,0.5,1,0.4185267857142857,medium,openout<=0.10,0.5948038172721842
371,352,0.9487870619946092,0.05121293800539083,19,0.42857142857142855,0.9829508463541666,0.4140625,0.0546875,1.0,msp,0.5,1,0.39285714285714285,medium,openout<=0.05,0.0033032927926378323
399,365,0.9147869674185464,0.08521303258145363,34,0.42857142857142855,0.9829508463541666,0.4453125,0.0546875,1.0,msp,0.5,1,0.40736607142857145,medium,openout<=0.10,0.014378969101292802
371,352,0.9487870619946092,0.05121293800539083,19,0.42857142857142855,0.9851735432942709,0.4140625,0.0546875,1.0,energy,0.5,1,0.39285714285714285,medium,openout<=0.05,0.01438482766776342
396,364,0.9191919191919192,0.08080808080808081,32,0.42857142857142855,0.9851735432942709,0.4419642857142857,0.0546875,1.0,energy,0.5,1,0.40625,medium,openout<=0.10,0.05002495739425688
324,320,0.9876543209876543,0.012345679012345678,4,0.42857142857142855,0.9821980794270834,0.36160714285714285,0.11197916666666667,1.0,mahalanobis,0.5,1,0.35714285714285715,medium,openout<=0.05,0.3665841105817017
337,327,0.9703264094955489,0.02967359050445104,10,0.42857142857142855,0.9821980794270834,0.37611607142857145,0.11197916666666667,1.0,mahalanobis,0.5,1,0.36495535714285715,medium,openout<=0.10,0.39142937958824553
201,199,0.9900497512437811,0.009950248756218905,2,0.42857142857142855,0.9607950846354166,0.22433035714285715,0.20833333333333334,1.0,openmax,0.5,1,0.22209821428571427,medium,openout<=0.05,0.20006900028902005
268,258,0.9626865671641791,0.03731343283582089,10,0.42857142857142855,0.9607950846354166,0.29910714285714285,0.20833333333333334,1.0,openmax,0.5,1,0.28794642857142855,medium,openout<=0.10,0.2543203283848472
0,0,0.0,0.0,0,0.42857142857142855,0.54339599609375,0.0,0.7239583333333334,1.0,vim,0.5,1,0.0,medium,openout<=0.05,-9.999999974752427e-07
108,96,0.8888888888888888,0.1111111111111111,12,0.42857142857142855,0.54339599609375,0.12053571428571429,0.7239583333333334,1.0,vim,0.5,1,0.10714285714285714,medium,openout<=0.10,0.07325809448957443
373,367,0.9839142091152815,0.0160857908847185,6,0.42857142857142855,0.9919331868489584,0.41629464285714285,0.026041666666666668,1.0,one_vs_rest,0.5,1,0.4095982142857143,medium,openout<=0.05,0.030751926672087444
392,373,0.951530612244898,0.04846938775510204,19,0.42857142857142855,0.9919331868489584,0.4375,0.026041666666666668,1.0,one_vs_rest,0.5,1,0.41629464285714285,medium,openout<=0.10,0.3305474567261969
256,244,0.953125,0.046875,12,0.25,0.9952036539713541,0.25,0.02734375,1.0,opensemcom,0.75,1,0.23828125,hard,openout<=0.05,0.005032246857881552
289,249,0.8615916955017301,0.1384083044982699,40,0.25,0.9952036539713541,0.2822265625,0.02734375,1.0,opensemcom,0.75,1,0.2431640625,hard,openout<=0.10,0.5948038172721842
264,234,0.8863636363636364,0.11363636363636363,30,0.25,0.9778696695963541,0.2578125,0.05859375,1.0,msp,0.75,1,0.228515625,hard,openout<=0.05,0.0033032927926378323
294,244,0.8299319727891157,0.17006802721088435,50,0.25,0.9778696695963541,0.287109375,0.05859375,1.0,msp,0.75,1,0.23828125,hard,openout<=0.10,0.014378969101292802
264,234,0.8863636363636364,0.11363636363636363,30,0.25,0.9806162516276041,0.2578125,0.05859375,1.0,energy,0.75,1,0.228515625,hard,openout<=0.05,0.01438482766776342
294,243,0.826530612244898,0.17346938775510204,51,0.25,0.9806162516276041,0.287109375,0.05859375,1.0,energy,0.75,1,0.2373046875,hard,openout<=0.10,0.05002495739425688
241,214,0.8879668049792531,0.11203319502074689,27,0.25,0.9807993570963541,0.2353515625,0.1328125,1.0,mahalanobis,0.75,1,0.208984375,hard,openout<=0.05,0.3665841105817017
264,223,0.8446969696969697,0.1553030303030303,41,0.25,0.9807993570963541,0.2578125,0.1328125,1.0,mahalanobis,0.75,1,0.2177734375,hard,openout<=0.10,0.39142937958824553
196,174,0.8877551020408163,0.11224489795918367,22,0.25,0.9569905598958334,0.19140625,0.2265625,1.0,openmax,0.75,1,0.169921875,hard,openout<=0.05,0.20006900028902005
240,200,0.8333333333333334,0.16666666666666666,40,0.25,0.9569905598958334,0.234375,0.2265625,1.0,openmax,0.75,1,0.1953125,hard,openout<=0.10,0.2543203283848472
0,0,0.0,0.0,0,0.25,0.5437494913736979,0.0,0.7265625,1.0,vim,0.75,1,0.0,hard,openout<=0.05,-9.999999974752427e-07
80,60,0.75,0.25,20,0.25,0.5437494913736979,0.078125,0.7265625,1.0,vim,0.75,1,0.05859375,hard,openout<=0.10,0.07325809448957443
254,244,0.9606299212598425,0.03937007874015748,10,0.25,0.9910227457682291,0.248046875,0.03125,1.0,one_vs_rest,0.75,1,0.23828125,hard,openout<=0.05,0.030751926672087444
280,248,0.8857142857142857,0.11428571428571428,32,0.25,0.9910227457682291,0.2734375,0.03125,1.0,one_vs_rest,0.75,1,0.2421875,hard,openout<=0.10,0.3305474567261969
99,89,0.898989898989899,0.10101010101010101,10,0.08984375,0.9973759096846426,0.0966796875,0.010869565217391304,1.0,opensemcom,0.91,1,0.0869140625,extreme,openout<=0.05,0.005032246857881552
121,91,0.7520661157024794,0.24793388429752067,30,0.08984375,0.9973759096846426,0.1181640625,0.010869565217391304,1.0,opensemcom,0.91,1,0.0888671875,extreme,openout<=0.10,0.5948038172721842
110,83,0.7545454545454545,0.24545454545454545,27,0.08984375,0.9833690987124464,0.107421875,0.06521739130434782,1.0,msp,0.91,1,0.0810546875,extreme,openout<=0.05,0.0033032927926378323
134,86,0.6417910447761194,0.3582089552238806,48,0.08984375,0.9833690987124464,0.130859375,0.06521739130434782,1.0,msp,0.91,1,0.083984375,extreme,openout<=0.10,0.014378969101292802
110,83,0.7545454545454545,0.24545454545454545,27,0.08984375,0.9843954095913416,0.107421875,0.06521739130434782,1.0,energy,0.91,1,0.0810546875,extreme,openout<=0.05,0.01438482766776342
134,86,0.6417910447761194,0.3582089552238806,48,0.08984375,0.9843954095913416,0.130859375,0.06521739130434782,1.0,energy,0.91,1,0.083984375,extreme,openout<=0.10,0.05002495739425688
191,85,0.44502617801047123,0.5549738219895288,106,0.08984375,0.9835207128195559,0.1865234375,0.10869565217391304,1.0,mahalanobis,0.91,1,0.0830078125,extreme,openout<=0.05,0.3665841105817017
228,90,0.39473684210526316,0.6052631578947368,138,0.08984375,0.9835207128195559,0.22265625,0.10869565217391304,1.0,mahalanobis,0.91,1,0.087890625,extreme,openout<=0.10,0.39142937958824553
171,84,0.49122807017543857,0.5087719298245614,87,0.08984375,0.95558872924053,0.1669921875,0.1956521739130435,1.0,openmax,0.91,1,0.08203125,extreme,openout<=0.05,0.20006900028902005
272,87,0.31985294117647056,0.6801470588235294,185,0.08984375,0.95558872924053,0.265625,0.1956521739130435,1.0,openmax,0.91,1,0.0849609375,extreme,openout<=0.10,0.2543203283848472
0,0,0.0,0.0,0,0.08984375,0.5769849785407726,0.0,0.8260869565217391,1.0,vim,0.91,1,0.0,extreme,openout<=0.05,-9.999999974752427e-07
74,16,0.21621621621621623,0.7837837837837838,58,0.08984375,0.5769849785407726,0.072265625,0.8260869565217391,1.0,vim,0.91,1,0.015625,extreme,openout<=0.10,0.07325809448957443
102,89,0.8725490196078431,0.12745098039215685,13,0.08984375,0.9948684456055235,0.099609375,0.010869565217391304,1.0,one_vs_rest,0.91,1,0.0869140625,extreme,openout<=0.05,0.030751926672087444
121,90,0.743801652892562,0.256198347107438,31,0.08984375,0.9948684456055235,0.1181640625,0.010869565217391304,1.0,one_vs_rest,0.91,1,0.087890625,extreme,openout<=0.10,0.3305474567261969
380,368,0.968421052631579,0.031578947368421054,12,0.596875,0.9866790771484375,0.59375,0.0234375,0.9947916666666666,opensemcom,0.25,2,0.575,mild,openout<=0.05,0.005264330906793506
398,377,0.9472361809045227,0.052763819095477386,21,0.596875,0.9866790771484375,0.621875,0.0234375,0.9947916666666666,opensemcom,0.25,2,0.5890625,mild,openout<=0.10,0.41244264841079664
365,357,0.9780821917808219,0.021917808219178082,8,0.59375,0.9732564290364584,0.5703125,0.046875,0.9895833333333334,msp,0.25,2,0.5578125,mild,openout<=0.05,0.0031293878305852976
380,367,0.9657894736842105,0.034210526315789476,13,0.59375,0.9732564290364584,0.59375,0.046875,0.9895833333333334,msp,0.25,2,0.5734375,mild,openout<=0.10,0.007406513331650772
