row_type,task,target_openout,resource_budget,method,n_seeds,semantic_goodput_mean,semantic_goodput_std,semantic_goodput_ci95,accepted_open_outage_mean,accepted_open_outage_std,accepted_open_outage_ci95,coverage_mean,coverage_std,coverage_ci95,accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_known_accuracy_ci95,accepted_mean,accepted_std,accepted_ci95,resource_per_sample_mean,resource_per_sample_std,resource_per_sample_ci95,goodput_per_resource_mean,goodput_per_resource_std,goodput_per_resource_ci95,refine_rate_mean,refine_rate_std,refine_rate_ci95,reject_rate_mean,reject_rate_std,reject_rate_ci95,accuracy_mean,accuracy_std,accuracy_ci95
OpenSemCom,full-open,0.1,0.6,opensemcom_progressive,3,0.421875,0.0033482142857143016,0.0037888611415569373,0.02815505186785172,0.010606838063533007,0.012002767190013839,0.43415178571428575,0.007812500000000009,0.008840675996966155,0.9718449481321483,0.010606838063533044,0.01200276719001388,389.0,7.0,7.921245693281666,0.61328125,0.03734272263978329,0.04225726869797074,0.6894917841103237,0.03972415101156555,0.04495210858851916,0.12388392857142856,0.0523126859163302,0.05919737685981815,0.5658482142857143,0.007812499999999968,0.00884067599696611,0.9724702380952381,0.0006443641397205461,0.000729166666666646
best_comparison,full-open,0.1,0.6,ensemble_detector,3,0.42559523809523814,0.002808718167883439,0.00317836381299838,0.04239432990616863,0.01953503232282572,0.02210597009361448,0.4445684523809524,0.010065289626836837,0.011389947444030562,0.9576056700938315,0.019535032322825684,0.02210597009361444,398.3333333333333,9.018499505645789,10.205392909851362,0.5890252976190476,0.011071818589520475,0.012528942188433565,0.72268429474095,0.01211352300608873,0.013707741706064104,0.0,0.0,0.0,0.5554315476190477,0.010065289626836811,0.01138994744403053,0.9847470238095237,0.007175335387643554,0.008119656362460434
OpenSemCom,full-open,0.01,0.8,opensemcom_progressive,3,0.3958333333333333,0.018350241748718046,0.020765253346101464,0.0018266074145247817,0.0015820487120424523,0.0017902566495468688,0.39657738095238093,0.018984153009186117,0.021482591466373675,0.9981733925854752,0.0015820487120424545,0.0017902566495468712,355.3333333333333,17.009801096230763,19.248401953870815,0.6045758928571429,0.04952981150940195,0.0560482580154147,0.6563025234042739,0.03315260013258234,0.03751569871732958,0.20200892857142858,0.046124951606633546,0.05219529632383875,0.6034226190476191,0.018984153009186107,0.02148259146637366,0.9728422619047619,0.001704827267468642,0.001929193664317876
best_comparison,full-open,0.01,0.8,ensemble_detector,3,0.2380952380952381,0.20624484635902995,0.23338801442614357,0.0010256410256410256,0.0017764623667373101,0.00201025641025641,0.23846726190476195,0.20657976658617277,0.23376701234140754,0.6656410256410257,0.5764640909252134,0.6523305282246967,213.66666666666666,185.0954708612108,209.45524305790116,0.3623139880952381,0.22723774324479004,0.25714371357554827,0.48248381064948465,0.4178443041470113,0.47283534209811257,0.0,0.0,0.0,0.7615327380952381,0.20657976658617275,0.2337670123414075,0.9847470238095237,0.007175335387643554,0.008119656362460434
OpenSemCom,full-open,0.02,0.8,opensemcom_progressive,3,0.41517857142857145,0.0078125,0.008840675996966144,0.004434331474005068,0.004023934589606702,0.004553510648281316,0.4170386904761905,0.008524136337343434,0.009645968321589633,0.9955656685259949,0.004023934589606713,0.004553510648281329,373.6666666666667,7.637626158259733,8.642787616144329,0.6604910714285714,0.0714449618471579,0.08084758519121035,0.6330643218492892,0.06246997966461807,0.07069143676824988,0.18861607142857142,0.054960143983237196,0.06219325768990827,0.5829613095238096,0.00852413633734344,0.00964596832158964,0.9732142857142857,0.0011160714285713969,0.0012629537138522705
best_comparison,full-open,0.02,0.8,ensemble_detector,3,0.40848214285714285,0.014508928571428575,0.016418398280079988,0.003559420632807801,0.003977897822614344,0.004501415142242627,0.40997023809523814,0.015678056179840385,0.017741390713369807,0.9964405793671922,0.003977897822614361,0.004501415142242646,367.3333333333333,14.047538337136984,15.896286079179347,0.5509672619047619,0.017245861797824388,0.019515529784706748,0.7413269804800712,0.00378982742482281,0.004288593452451204,0.0,0.0,0.0,0.5900297619047619,0.01567805617984038,0.017741390713369803,0.9847470238095237,0.007175335387643554,0.008119656362460434
OpenSemCom,full-open,0.05,0.8,opensemcom_progressive,3,0.421875,0.002232142857142849,0.002525907427704604,0.017155217292642754,0.013849372015967571,0.01567203977659125,0.4293154761904762,0.008226690620348214,0.009309376806627708,0.9828447827073572,0.013849372015967582,0.015672039776591262,384.6666666666667,7.371114795831994,8.34120161873842,0.6525669642857143,0.07271896980181307,0.08228926090892733,0.6517612267070638,0.07102075085018926,0.08036754525795599,0.15922619047619047,0.07864410870073697,0.08899418676395542,0.5706845238095238,0.008226690620348205,0.0093093768066277,0.9720982142857143,0.0011160714285713969,0.0012629537138522705
best_comparison,full-open,0.05,0.8,ensemble_detector,3,0.41592261904761907,0.007261615065455051,0.008217291009072154,0.0061544942389860245,0.0055052852554660185,0.0062298167314496075,0.41852678571428575,0.009135438361464783,0.010337721682427576,0.9938455057610139,0.005505285255466012,0.0062298167314496005,375.0,8.18535277187245,9.262598627455114,0.5603794642857142,0.010048982197611222,0.011371493850670288,0.7422226872832617,0.0022390890387543436,0.002533767772158147,0.0,0.0,0.0,0.5814732142857143,0.009135438361464758,0.010337721682427548,0.9847470238095237,0.007175335387643554,0.008119656362460434
OpenSemCom,full-open,0.1,0.8,opensemcom_progressive,3,0.4226190476190476,0.0023232879458327557,0.0026290478050258466,0.03145366297896283,0.009922873196178296,0.011228788081458201,0.4363839285714286,0.006214022726372785,0.007031828679890689,0.9685463370210372,0.009922873196178334,0.011228788081458245,391.0,5.5677643628300215,6.300518497182064,0.6545758928571429,0.07991110397450876,0.09042792688620871,0.6521585748777298,0.08014910319014204,0.09069724835218577,0.1514136904761905,0.0927638217246405,0.10497214618980812,0.5636160714285715,0.006214022726372785,0.007031828679890689,0.9724702380952381,0.0006443641397205461,0.000729166666666646
best_comparison,full-open,0.1,0.8,ensemble_detector,3,0.42559523809523814,0.002808718167883439,0.00317836381299838,0.04239432990616863,0.01953503232282572,0.02210597009361448,0.4445684523809524,0.010065289626836837,0.011389947444030562,0.9576056700938315,0.019535032322825684,0.02210597009361444,398.3333333333333,9.018499505645789,10.205392909851362,0.5890252976190476,0.011071818589520475,0.012528942188433565,0.72268429474095,0.01211352300608873,0.013707741706064104,0.0,0.0,0.0,0.5554315476190477,0.010065289626836811,0.01138994744403053,0.9847470238095237,0.007175335387643554,0.008119656362460434
OpenSemCom,full-open,0.01,1.0,opensemcom_progressive,3,0.3958333333333333,0.018350241748718046,0.020765253346101464,0.0018266074145247817,0.0015820487120424523,0.0017902566495468688,0.39657738095238093,0.018984153009186117,0.021482591466373675,0.9981733925854752,0.0015820487120424545,0.0017902566495468712,355.3333333333333,17.009801096230763,19.248401953870815,0.6045758928571429,0.04952981150940195,0.0560482580154147,0.6563025234042739,0.03315260013258234,0.03751569871732958,0.20200892857142858,0.046124951606633546,0.05219529632383875,0.6034226190476191,0.018984153009186107,0.02148259146637366,0.9728422619047619,0.001704827267468642,0.001929193664317876
best_comparison,full-open,0.01,1.0,ensemble_detector,3,0.2380952380952381,0.20624484635902995,0.23338801442614357,0.0010256410256410256,0.0017764623667373101,0.00201025641025641,0.23846726190476195,0.20657976658617277,0.23376701234140754,0.6656410256410257,0.5764640909252134,0.6523305282246967,213.66666666666666,185.0954708612108,209.45524305790116,0.3623139880952381,0.22723774324479004,0.25714371357554827,0.48248381064948465,0.4178443041470113,0.47283534209811257,0.0,0.0,0.0,0.7615327380952381,0.20657976658617275,0.2337670123414075,0.9847470238095237,0.007175335387643554,0.008119656362460434
OpenSemCom,full-open,0.02,1.0,opensemcom_progressive,3,0.41517857142857145,0.0078125,0.008840675996966144,0.004434331474005068,0.004023934589606702,0.004553510648281316,0.4170386904761905,0.008524136337343434,0.009645968321589633,0.9955656685259949,0.004023934589606713,0.004553510648281329,373.6666666666667,7.637626158259733,8.642787616144329,0.6604910714285714,0.0714449618471579,0.08084758519121035,0.6330643218492892,0.06246997966461807,0.07069143676824988,0.18861607142857142,0.054960143983237196,0.06219325768990827,0.5829613095238096,0.00852413633734344,0.00964596832158964,0.9732142857142857,0.0011160714285713969,0.0012629537138522705
best_comparison,full-open,0.02,1.0,ensemble_detector,3,0.40848214285714285,0.014508928571428575,0.016418398280079988,0.003559420632807801,0.003977897822614344,0.004501415142242627,0.40997023809523814,0.015678056179840385,0.017741390713369807,0.9964405793671922,0.003977897822614361,0.004501415142242646,367.3333333333333,14.047538337136984,15.896286079179347,0.5509672619047619,0.017245861797824388,0.019515529784706748,0.7413269804800712,0.00378982742482281,0.004288593452451204,0.0,0.0,0.0,0.5900297619047619,0.01567805617984038,0.017741390713369803,0.9847470238095237,0.007175335387643554,0.008119656362460434
