row_type,task,target_openout,resource_budget,method,n_seeds,semantic_goodput_mean,semantic_goodput_std,semantic_goodput_ci95,accepted_open_outage_mean,accepted_open_outage_std,accepted_open_outage_ci95,coverage_mean,coverage_std,coverage_ci95,accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_known_accuracy_ci95,accepted_mean,accepted_std,accepted_ci95,resource_per_sample_mean,resource_per_sample_std,resource_per_sample_ci95,goodput_per_resource_mean,goodput_per_resource_std,goodput_per_resource_ci95,refine_rate_mean,refine_rate_std,refine_rate_ci95,reject_rate_mean,reject_rate_std,reject_rate_ci95,accuracy_mean,accuracy_std,accuracy_ci95,auroc_mean,auroc_std,auroc_ci95,fpr95_mean,fpr95_std,fpr95_ci95
opensemcom_receiver_only,deepsense-beam,0.05,0.6,opensemcom_receiver_only,5,0.24274809160305347,0.2217291177163272,0.19435414088346611,0.0032258064516129032,0.007213122508063837,0.006322580645161289,0.24427480916030536,0.22366542479364293,0.19605138886954138,0.7967741935483871,0.4454650669923624,0.3904673471873967,32.0,29.300170647967224,25.682731941909918,0.36870229007633587,0.24603196727300722,0.2156565277564955,0.4560506141727326,0.3850822206655519,0.33753944875522135,0.0,0.0,0.0,0.7557251908396946,0.22366542479364293,0.19605138886954138,0.9099236641221374,0.013655376961830765,0.011969465648854951,0.8454591399919054,0.07841531008837035,0.06873404982305388,0.4164303676222465,0.131755262150174,0.11548857924394891
opensemcom_no_channel,deepsense-beam,0.05,0.6,opensemcom_no_channel,5,0.25801526717557255,0.22896946246766317,0.20070058287691836,0.013397435897435897,0.020412917781647222,0.017892711337319938,0.2641221374045801,0.23532012422389945,0.20626718334142696,0.7866025641025641,0.44013403556603337,0.3857944921128886,34.6,30.82693627333083,27.02100101772693,0.39053435114503815,0.25885213664628937,0.22689390167556964,0.47619361242485103,0.35737727800788016,0.31325499579786853,0.0,0.0,0.0,0.7358778625954199,0.23532012422389945,0.20626718334142696,0.9083969465648855,0.02019657489362282,0.01770307843492403,0.8305125589765948,0.11414759912015905,0.10005478211161976,0.5202652105456024,0.26796718773613554,0.23488359622683924
best_comparison,deepsense-beam,0.05,0.6,ensemble_detector,5,0.2900763358778625,0.17162845157188636,0.15043897075840526,0.013759052007899933,0.021279372061447713,0.01865219199957951,0.2961832061068702,0.17799523279038018,0.15601970055455433,0.7862409479921,0.4399696417610874,0.38565039458949646,38.8,23.317375495539803,20.438580772646617,0.4258015267175573,0.19579475606941818,0.17162167061000974,0.5708001786840896,0.31926431502465896,0.27984751078453757,0.0,0.0,0.0,0.7038167938931297,0.17799523279038015,0.1560197005545543,0.9083969465648856,0.017902350228333672,0.015692101850484686,0.8367376580229244,0.07906540041293564,0.0693038791166931,0.5601055649331512,0.2931630566381154,0.2569687490687032
opensemcom_progressive,deepsense-beam,0.05,0.8,opensemcom_progressive,5,0.5022900763358779,0.3063628025291224,0.26853883647512516,0.018463611859838275,0.02633900422177675,0.023087155128622326,0.516030534351145,0.3187240016373766,0.27937390521899585,0.7815363881401618,0.4375636379013636,0.3835414392211845,67.6,41.752844214496335,36.597981583688465,0.6102290076335878,0.3106469768065609,0.2722940808005541,0.6784847799900734,0.38262449433411333,0.3353851566415237,0.048854961832061075,0.05878358262039223,0.05152608198646751,0.483969465648855,0.3187240016373766,0.27937390521899585,0.9114503816793892,0.0102415327213731,0.008977099236641237,0.8193630150024603,0.09041068055987996,0.07924845562857284,0.5134785450810104,0.28485957397142336,0.24969042560515906
opensemcom_receiver_only,deepsense-beam,0.05,0.8,opensemcom_receiver_only,5,0.3007633587786259,0.271963639480043,0.23838664063196366,0.0032258064516129032,0.007213122508063837,0.006322580645161289,0.30229007633587784,0.27313954215130887,0.2394173647686503,0.7967741935483871,0.4454650669923624,0.3904673471873967,39.6,35.781280021821466,31.363674784693195,0.4325190839694656,0.3004534963664398,0.2633591012455154,0.47322785837769815,0.40073551372064914,0.3512601650736471,0.0,0.0,0.0,0.6977099236641221,0.2731395421513089,0.23941736476865036,0.9099236641221374,0.013655376961830765,0.011969465648854951,0.8454591399919054,0.07841531008837035,0.06873404982305388,0.4164303676222465,0.131755262150174,0.11548857924394891
opensemcom_no_channel,deepsense-beam,0.05,0.8,opensemcom_no_channel,5,0.3114503816793893,0.2807562605730121,0.24609371282996045,0.012564102564102564,0.020116361042471338,0.017632767894350622,0.31755725190839695,0.2851428601123263,0.24993873685587095,0.7874358974358975,0.4405934823616207,0.3861972149855439,41.6,37.35371467471475,32.7419745281191,0.44931297709923657,0.31365714612355894,0.27493261054145807,0.49059487460258894,0.37068614339872186,0.3249207306630566,0.0,0.0,0.0,0.6824427480916031,0.2851428601123263,0.24993873685587095,0.9083969465648855,0.02019657489362282,0.01770307843492403,0.8305125589765948,0.11414759912015905,0.10005478211161976,0.5202652105456024,0.26796718773613554,0.23488359622683924
best_comparison,deepsense-beam,0.05,0.8,ensemble_detector,5,0.3633587786259542,0.21796533308884192,0.1910550381978136,0.011811811811811812,0.01795046283561819,0.015734274410186155,0.3694656488549618,0.22318292295089645,0.19562845735703852,0.7881881881881883,0.44092665286882693,0.38648925181121063,48.4,29.236962906567435,25.627327913772046,0.506412213740458,0.2455012152459861,0.2151913030927424,0.5956197225613323,0.3335523979596717,0.2923715676711881,0.0,0.0,0.0,0.6305343511450381,0.22318292295089642,0.19562845735703852,0.9083969465648856,0.017902350228333672,0.015692101850484686,0.8367376580229244,0.07906540041293564,0.0693038791166931,0.5601055649331512,0.2931630566381154,0.2569687490687032
opensemcom_progressive,deepsense-beam,0.05,1.0,opensemcom_progressive,5,0.648854961832061,0.13353324950027404,0.1170470538705086,0.02612012987012987,0.026881004253835473,0.023562239103494555,0.6687022900763359,0.14945075520926776,0.13099936279114857,0.9738798701298702,0.02688100425383546,0.02356223910349454,87.6,19.578048932414077,17.160916525640463,0.8506870229007635,0.22538004730811498,0.1975543217688009,0.7750125904370879,0.07568995829085245,0.0663451736453682,0.13129770992366413,0.08472938580465103,0.07426858120959412,0.33129770992366414,0.1494507552092678,0.1309993627911486,0.9099236641221374,0.01254326467569081,0.010994656250049669,0.8264031406019079,0.09194147649052282,0.08059025742272706,0.4997106180927444,0.27787989392649487,0.2435724663008288
opensemcom_receiver_only,deepsense-beam,0.05,1.0,opensemcom_receiver_only,5,0.34045801526717556,0.3193632584646771,0.2799342385335984,0.013535084802128367,0.02236729521694468,0.01960579869053453,0.349618320610687,0.33113409263987287,0.2902518295977036,0.7864649151978715,0.44015083039142133,0.3858092134264138,45.8,43.37856613582335,38.02298967729918,0.48458015267175575,0.3642475019038602,0.31927701255747404,0.4727915029584171,0.4003323851948409,0.3509068073409955,0.0,0.0,0.0,0.6503816793893129,0.33113409263987287,0.2902518295977036,0.9099236641221374,0.013655376961830765,0.011969465648854951,0.8454591399919054,0.07841531008837035,0.06873404982305388,0.4164303676222465,0.131755262150174,0.11548857924394891
opensemcom_no_channel,deepsense-beam,0.05,1.0,opensemcom_no_channel,5,0.349618320610687,0.3152218883244836,0.2763041675534419,0.018321678321678324,0.025089209506563532,0.021991661759696725,0.3603053435114504,0.3247371669660153,0.28464467702143004,0.7816783216783217,0.43757128479006147,0.3835481420146589,47.2,42.540568872548,37.288452689807336,0.49633587786259536,0.3572108836626168,0.313109144723573,0.4942828612678598,0.37393856106868667,0.32777160044755155,0.0,0.0,0.0,0.6396946564885496,0.3247371669660153,0.28464467702143004,0.9083969465648855,0.02019657489362282,0.01770307843492403,0.8305125589765948,0.11414759912015905,0.10005478211161976,0.5202652105456024,0.26796718773613554,0.23488359622683924
