task,target_openout,resource_budget,method,n_seeds,semantic_goodput_mean,semantic_goodput_std,semantic_goodput_ci95,accepted_open_outage_mean,accepted_open_outage_std,accepted_open_outage_ci95,coverage_mean,coverage_std,coverage_ci95,accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_known_accuracy_ci95,accepted_mean,accepted_std,accepted_ci95,resource_per_sample_mean,resource_per_sample_std,resource_per_sample_ci95,goodput_per_resource_mean,goodput_per_resource_std,goodput_per_resource_ci95,refine_rate_mean,refine_rate_std,refine_rate_ci95,reject_rate_mean,reject_rate_std,reject_rate_ci95,accuracy_mean,accuracy_std,accuracy_ci95
deepsense-beam,0.02,0.8,fixed_refine_all,3,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.0,0.0,0.0,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.10381679389312977,0.006610880944919374,0.007480916030534346,0.0228310502283105,0.0395445389855908,0.044748858447488576,0.0,0.0,0.0,0.9974554707379135,0.004407253963279593,0.004987277353689576,0.9109414758269719,0.015890580148596397,0.017981884223688047
deepsense-beam,0.02,0.8,opensemcom_progressive,3,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.0,0.0,0.0,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,1.7320508075688772,1.96,0.1068702290076336,0.011899585700854884,0.013465648854961836,0.06329113924050632,0.10962346883347324,0.1240506329113924,0.0,0.0,0.0,0.9923664122137404,0.01322176188983878,0.014961832061068728,0.9033078880407125,0.015890580148596397,0.017981884223688047
deepsense-beam,0.02,0.8,witt_context_style,3,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.0,0.0,0.0,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.10330788804071249,0.005729430152263457,0.006483460559796432,0.02314814814814815,0.04009376869372401,0.04537037037037037,0.0,0.0,0.0,0.9974554707379135,0.004407253963279593,0.004987277353689576,0.9109414758269719,0.015890580148596397,0.017981884223688047
deepsense-beam,0.02,1.0,deepjscc_pca,3,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.0,0.0,0.0,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.10152671755725191,0.002644352377967743,0.002992366412213731,0.024330900243309004,0.042142355415301154,0.04768856447688565,0.0,0.0,0.0,0.9974554707379135,0.004407253963279593,0.004987277353689576,0.89058524173028,0.01166049795154155,0.013195095597166882
deepsense-beam,0.02,1.0,dino_detector,3,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.0,0.0,0.0,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.3333333333333333,1.5275252316519468,1.728557523228866,0.10916030534351145,0.010494448156387422,0.011875586037450227,0.08710066305003013,0.0959019787655925,0.10852330518201991,0.0,0.0,0.0,0.989821882951654,0.011660497951541598,0.013195095597166938,0.9033078880407125,0.015890580148596397,0.017981884223688047
deepsense-beam,0.02,1.0,ensemble_detector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9083969465648855,0.0201965748936228,0.022854575985021462
deepsense-beam,0.02,1.0,fixed_refine_all,3,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.0,0.0,0.0,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.10381679389312977,0.006610880944919374,0.007480916030534346,0.0228310502283105,0.0395445389855908,0.044748858447488576,0.0,0.0,0.0,0.9974554707379135,0.004407253963279593,0.004987277353689576,0.9109414758269719,0.015890580148596397,0.017981884223688047
deepsense-beam,0.02,1.0,opensemcom_progressive,3,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.0,0.0,0.0,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,1.7320508075688772,1.96,0.1068702290076336,0.011899585700854884,0.013465648854961836,0.06329113924050632,0.10962346883347324,0.1240506329113924,0.0,0.0,0.0,0.9923664122137404,0.01322176188983878,0.014961832061068728,0.9033078880407125,0.015890580148596397,0.017981884223688047
deepsense-beam,0.02,1.0,witt_context_style,3,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.0,0.0,0.0,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.10330788804071249,0.005729430152263457,0.006483460559796432,0.02314814814814815,0.04009376869372401,0.04537037037037037,0.0,0.0,0.0,0.9974554707379135,0.004407253963279593,0.004987277353689576,0.9109414758269719,0.015890580148596397,0.017981884223688047
deepsense-beam,0.05,0.6,deepjscc_pca,3,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.0,0.0,0.0,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.10152671755725191,0.002644352377967743,0.002992366412213731,0.024330900243309004,0.042142355415301154,0.04768856447688565,0.0,0.0,0.0,0.9974554707379135,0.004407253963279593,0.004987277353689576,0.89058524173028,0.01166049795154155,0.013195095597166882
deepsense-beam,0.05,0.6,dino_detector,3,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.0,0.0,0.0,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.3333333333333333,1.5275252316519468,1.728557523228866,0.10916030534351145,0.010494448156387422,0.011875586037450227,0.08710066305003013,0.0959019787655925,0.10852330518201991,0.0,0.0,0.0,0.989821882951654,0.011660497951541598,0.013195095597166938,0.9033078880407125,0.015890580148596397,0.017981884223688047
deepsense-beam,0.05,0.6,ensemble_detector,3,0.27989821882951654,0.25413466101066384,0.2875804412920453,0.014705882352941178,0.025471335405424667,0.02882352941176471,0.2875318066157761,0.2640309304346211,0.2987791243711991,0.6519607843137255,0.5650453432316098,0.6394089987974643,37.666666666666664,34.58805188693537,39.140065292627085,0.4162849872773537,0.2904340234780832,0.328657036808319,0.4861088394329407,0.42110891636298775,0.47652959859183225,0.0,0.0,0.0,0.712468193384224,0.2640309304346211,0.2987791243711991,0.9083969465648855,0.0201965748936228,0.022854575985021462
deepsense-beam,0.05,0.6,fixed_refine_all,3,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.0,0.0,0.0,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.10381679389312977,0.006610880944919374,0.007480916030534346,0.0228310502283105,0.0395445389855908,0.044748858447488576,0.0,0.0,0.0,0.9974554707379135,0.004407253963279593,0.004987277353689576,0.9109414758269719,0.015890580148596397,0.017981884223688047
deepsense-beam,0.05,0.6,opensemcom_progressive,3,0.3155216284987277,0.28819532080952204,0.3261237062551935,0.012987012987012986,0.02249416633206334,0.025454545454545455,0.3231552162849873,0.29823142163099936,0.33748062345654606,0.6536796536796537,0.5664382648314773,0.6409852379723256,42.333333333333336,39.06831623366092,44.20996167280754,0.39083969465648855,0.26840827946789947,0.3037325611108915,0.5862144834539267,0.5080222661573178,0.5748813125556923,0.0,0.0,0.0,0.6768447837150128,0.29823142163099936,0.33748062345654606,0.9134860050890584,0.011660497951541598,0.013195095597166938
deepsense-beam,0.05,0.6,witt_context_style,3,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.0,0.0,0.0,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.10330788804071249,0.005729430152263457,0.006483460559796432,0.02314814814814815,0.04009376869372401,0.04537037037037037,0.0,0.0,0.0,0.9974554707379135,0.004407253963279593,0.004987277353689576,0.9109414758269719,0.015890580148596397,0.017981884223688047
deepsense-beam,0.05,0.8,deepjscc_pca,3,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.0,0.0,0.0,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.10152671755725191,0.002644352377967743,0.002992366412213731,0.024330900243309004,0.042142355415301154,0.04768856447688565,0.0,0.0,0.0,0.9974554707379135,0.004407253963279593,0.004987277353689576,0.89058524173028,0.01166049795154155,0.013195095597166882
deepsense-beam,0.05,0.8,dino_detector,3,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.0,0.0,0.0,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.3333333333333333,1.5275252316519468,1.728557523228866,0.10916030534351145,0.010494448156387422,0.011875586037450227,0.08710066305003013,0.0959019787655925,0.10852330518201991,0.0,0.0,0.0,0.989821882951654,0.011660497951541598,0.013195095597166938,0.9033078880407125,0.015890580148596397,0.017981884223688047
deepsense-beam,0.05,0.8,ensemble_detector,3,0.3002544529262086,0.2756912616953049,0.31197403133990326,0.013513513513513514,0.023406091994174018,0.026486486486486487,0.3078880407124682,0.2858606211061977,0.32348174483089864,0.6531531531531531,0.5660103046431748,0.6405009554296845,40.333333333333336,37.44774136491189,42.37610857284771,0.43867684478371505,0.31444668321681746,0.3558299193139885,0.4922104644326866,0.4264651679141756,0.4825907678106866,0.0,0.0,0.0,0.6921119592875318,0.28586062110619764,0.3234817448308986,0.9083969465648855,0.0201965748936228,0.022854575985021462
deepsense-beam,0.05,0.8,fixed_refine_all,3,0.27735368956743,0.24692424516963116,0.27942108765953816,0.015384615384615385,0.026646935501059652,0.030153846153846156,0.28498727735368956,0.2561899995156614,0.2899062757607521,0.6512820512820513,0.564498695410641,0.6387904085549513,37.333333333333336,33.56088993655164,37.97772212465852,0.5274809160305344,0.3842849992734921,0.4348594136411282,0.37425987292742785,0.32411957257019103,0.36677582404713144,0.0,0.0,0.0,0.7150127226463104,0.2561899995156614,0.2899062757607521,0.9109414758269719,0.015890580148596397,0.017981884223688047
deepsense-beam,0.05,0.8,opensemcom_progressive,3,0.37404580152671757,0.3277112661628348,0.3708402079617481,0.012048192771084336,0.020868082018902136,0.023614457831325302,0.38167938931297707,0.3361379978061679,0.3803759524957756,0.6546184738955824,0.5672042113819296,0.6418519880886191,50.0,44.034077712607996,49.829249776946604,0.4961832061068702,0.3466195269161872,0.3922369192560252,0.5380848814745514,0.46621233176348786,0.5275689178766187,0.06870229007633588,0.06522140263601169,0.07380496496289957,0.6183206106870228,0.3361379978061679,0.3803759524957756,0.9134860050890584,0.011660497951541598,0.013195095597166938
