auroc,backbone,detector_control,fpr95,known_subset_accuracy,method,samples,seed,severity
0.9998677571614584,DINOv3,one_vs_rest,0.0,0.99609375,dino_one_vs_rest,1024,0,hard
0.9996795654296875,SigLIP2,best_ood:one_vs_rest,0.0,0.99609375,siglip2_best_ood,1024,0,hard
0.9996897379557291,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,1024,0,hard
0.9999066990110095,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0,1.0,opensemcom,1024,0,extreme
0.9997434222802761,dino+siglip2+openclip,learned_risk_head_only,0.0,1.0,opensemcom_risk_head,1024,0,extreme
0.9999066990110095,dino+siglip2+openclip,mixed_open_calibration,0.0,1.0,opensemcom_calibrated,1024,0,extreme
0.9999300242582572,dino+siglip2+openclip,semantic_harq_refine,0.0,1.0,opensemcom_harq_refine,1024,0,extreme
0.9999650121291286,DINOv3,one_vs_rest,0.0,0.9891304347826086,dino_one_vs_rest,1024,0,extreme
0.9995451576786714,SigLIP2,best_ood:one_vs_rest,0.0,1.0,siglip2_best_ood,1024,0,extreme
0.9998950363873857,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,1024,0,extreme
0.99957275390625,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0,0.9973958333333334,opensemcom,640,1,mild
0.9990234375,dino+siglip2+openclip,learned_risk_head_only,0.010416666666666666,0.9973958333333334,opensemcom_risk_head,640,1,mild
0.99957275390625,dino+siglip2+openclip,mixed_open_calibration,0.0,0.9973958333333334,opensemcom_calibrated,640,1,mild
0.9994303385416666,dino+siglip2+openclip,semantic_harq_refine,0.0,0.9973958333333334,opensemcom_harq_refine,640,1,mild
1.0,DINOv3,one_vs_rest,0.0,0.9973958333333334,dino_one_vs_rest,640,1,mild
0.999969482421875,SigLIP2,best_ood:one_vs_rest,0.0,0.9947916666666666,siglip2_best_ood,640,1,mild
0.9986165364583334,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,640,1,mild
0.9996897379557291,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0,0.9973958333333334,opensemcom,896,1,medium
0.9994150797526041,dino+siglip2+openclip,learned_risk_head_only,0.0,0.9973958333333334,opensemcom_risk_head,896,1,medium
0.9996897379557291,dino+siglip2+openclip,mixed_open_calibration,0.0,0.9973958333333334,opensemcom_calibrated,896,1,medium
0.9996083577473959,dino+siglip2+openclip,semantic_harq_refine,0.0,0.9973958333333334,opensemcom_harq_refine,896,1,medium
1.0,DINOv3,one_vs_rest,0.0,0.9973958333333334,dino_one_vs_rest,896,1,medium
0.9998575846354166,SigLIP2,best_ood:one_vs_rest,0.0,0.9947916666666666,siglip2_best_ood,896,1,medium
0.9998982747395834,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,896,1,medium
0.9996693929036459,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0,0.99609375,opensemcom,1024,1,hard
0.9995066324869791,dino+siglip2+openclip,learned_risk_head_only,0.0,0.99609375,opensemcom_risk_head,1024,1,hard
0.9996693929036459,dino+siglip2+openclip,mixed_open_calibration,0.0,0.99609375,opensemcom_calibrated,1024,1,hard
0.9995981852213541,dino+siglip2+openclip,semantic_harq_refine,0.0,0.99609375,opensemcom_harq_refine,1024,1,hard
0.9998830159505209,DINOv3,one_vs_rest,0.0,1.0,dino_one_vs_rest,1024,1,hard
0.999847412109375,SigLIP2,best_ood:one_vs_rest,0.0,0.9921875,siglip2_best_ood,1024,1,hard
0.9998728434244791,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,1024,1,hard
0.9999650121291286,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0,1.0,opensemcom,1024,1,extreme
0.9998950363873857,dino+siglip2+openclip,learned_risk_head_only,0.0,1.0,opensemcom_risk_head,1024,1,extreme
0.9999650121291286,dino+siglip2+openclip,mixed_open_calibration,0.0,1.0,opensemcom_calibrated,1024,1,extreme
0.9999650121291286,dino+siglip2+openclip,semantic_harq_refine,0.0,1.0,opensemcom_harq_refine,1024,1,extreme
1.0,DINOv3,one_vs_rest,0.0,0.9891304347826086,dino_one_vs_rest,1024,1,extreme
