task,target_openout,resource_budget,method,n_seeds,semantic_goodput_mean,semantic_goodput_std,semantic_goodput_ci95,accepted_open_outage_mean,accepted_open_outage_std,accepted_open_outage_ci95,coverage_mean,coverage_std,coverage_ci95,accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_known_accuracy_ci95,accepted_mean,accepted_std,accepted_ci95,resource_per_sample_mean,resource_per_sample_std,resource_per_sample_ci95,goodput_per_resource_mean,goodput_per_resource_std,goodput_per_resource_ci95,refine_rate_mean,refine_rate_std,refine_rate_ci95,reject_rate_mean,reject_rate_std,reject_rate_ci95,accuracy_mean,accuracy_std,accuracy_ci95,auroc_mean,auroc_std,auroc_ci95,fpr95_mean,fpr95_std,fpr95_ci95
full-open,0.05,0.6,witt_context_style,5,0.4216517857142857,0.002146806256882972,0.0018817586521655831,0.017048588563853495,0.010142221118487525,0.008890048778598645,0.4290178571428571,0.006488590113280628,0.0056874999999999894,0.9829514114361464,0.010142221118487553,0.00889004877859867,384.4,5.813776741499453,5.095999999999999,0.6577232142857143,0.00843516714726479,0.007393749999999962,0.6411299492446813,0.005190736697668416,0.004549881322841426,0.0,0.0,0.0,0.5709821428571428,0.006488590113280668,0.005687500000000024,0.9832589285714286,0.00579927725748507,0.005083290641897225,0.9989131561633364,0.0009455928309716601,0.0008288486608429273,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.05,0.6,fixed_refine_all,5,0.37544642857142857,0.010337978729383393,0.009061637890028482,0.0023793495827294374,0.0025401455114761285,0.0022265357102694253,0.3763392857142857,0.010210681260252397,0.008950056738646971,0.9976206504172704,0.0025401455114761437,0.0022265357102694387,337.2,9.148770409186143,8.019250837827682,0.6645089285714286,0.015316021890378603,0.013425085107970464,0.564952482154278,0.002874292143092918,0.002519428146706532,0.0,0.0,0.0,0.6236607142857142,0.010210681260252387,0.008950056738646963,0.9832589285714286,0.00579927725748507,0.005083290641897225,0.9989131561633364,0.0009455928309716601,0.0008288486608429273,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.05,0.6,dino_detector,5,0.3723214285714286,0.011065441569594131,0.009699287183860462,0.008846540010828652,0.007148295057228871,0.006265756879106285,0.3756696428571429,0.011905924422405878,0.010436002886641989,0.9911534599891713,0.007148295057228861,0.006265756879106277,336.6,10.667708282475669,9.350658586431223,0.4381026785714285,0.010715331980165289,0.00939240259797779,0.8497725836821776,0.0070092300231251355,0.006143861002242968,0.0,0.0,0.0,0.6243303571428571,0.011905924422405888,0.010436002886641997,0.9660714285714285,0.009555292318305356,0.008375583002096034,0.9921142245835265,0.0026613896921440267,0.0023328109203705023,0.01746707846096955,0.011691635340677697,0.010248170224838543
full-open,0.05,0.6,deepjscc_pca,5,0.018973214285714284,0.042425396894527255,0.03718749999999999,0.004597701149425287,0.01028077231034386,0.009011494252873562,0.019419642857142858,0.043423641527339664,0.0380625,0.19540229885057472,0.4369328231896141,0.3829885057471264,17.4,38.90758280849634,34.104,0.11165178571428572,0.026054184916403805,0.0228375,0.11988716502115655,0.26807585061704103,0.2349788434414668,0.0,0.0,0.0,0.9805803571428571,0.04342364152733967,0.038062500000000006,0.9308035714285715,0.00727589554152082,0.0063776036349870524,0.9125067777233081,0.00975470203736756,0.008550373327477346,0.3883954397912394,0.056139593792256685,0.04920852359589477
full-open,0.05,0.8,opensemcom_progressive,5,0.4245535714285714,0.0028013170531274675,0.002455462660070383,0.01896845209107561,0.010696976096032648,0.009376312956132372,0.4328125,0.006333152213888885,0.005551252673946663,0.9810315479089244,0.010696976096032654,0.009376312956132378,387.8,5.674504383644443,4.973922395856212,0.49267857142857147,0.009379184334062377,0.00822121754783011,0.8618955207217229,0.011419925986463339,0.010010006475069359,0.004241071428571429,0.007250170432549873,0.006355054582771103,0.5671875,0.006333152213888891,0.005551252673946668,0.8618303571428572,0.24291211956514777,0.212921860667241,0.9980025460268476,0.0009281405520899826,0.0008135510639217751,0.0036594748896292676,0.002981188567187707,0.0026131269936709492
full-open,0.05,0.8,opensemcom_no_channel,5,0.42276785714285714,0.0024195851996293358,0.0021208599376196483,0.013512460081120314,0.006158689281090809,0.005398329170848796,0.42857142857142855,0.0035293277457236513,0.0030935921676911574,0.9864875399188797,0.006158689281090822,0.005398329170848808,384.0,3.1622776601683795,2.7718585822512662,0.5714285714285714,0.003882260520296014,0.0034029513844602705,0.7398560148351792,0.0039164705709662595,0.0034329378159947245,0.0,0.0,0.0,0.5714285714285714,0.0035293277457236253,0.0030935921676911345,0.428125,0.0006112974972155698,0.000535825881233805,0.9985552949252895,0.0012047298191476409,0.0010559922458929798,0.001043026544821584,0.0014282249398182908,0.0012518943566169438
full-open,0.05,0.8,opensemcom_receiver_only,5,0.421875,0.003156726701725672,0.002766992952647343,0.016061303298874403,0.008546636123339777,0.007491456865491263,0.4287946428571428,0.005657942792694889,0.004959405521330142,0.9839386967011257,0.00854663612333975,0.007491456865491239,384.2,5.06951674225463,4.443627347111817,0.5716741071428573,0.006223737071964404,0.00545534607346318,0.7379964416144229,0.005051980693101477,0.00442825632231023,0.0,0.0,0.0,0.5712053571428571,0.005657942792694914,0.004959405521330164,0.428125,0.0006112974972155698,0.000535825881233805,0.9984208272340114,0.0011904788001993914,0.0010435006770231458,0.0015625,0.002329237476562281,0.0020416666666666665
full-open,0.05,0.8,ensemble_detector,5,0.4216517857142857,0.002146806256882972,0.0018817586521655831,0.016522280121977772,0.01094250013324631,0.009591524263561788,0.42879464285714286,0.006761219299491494,0.005926470018063023,0.9834777198780221,0.010942500133246318,0.009591524263561794,384.2,6.058052492344384,5.310117136184474,0.5716741071428572,0.007437341229440634,0.006519117019869318,0.7376368515348621,0.00624286134788478,0.005472109240406722,0.0,0.0,0.0,0.5712053571428571,0.006761219299491519,0.0059264700180630455,0.9841517857142856,0.005657942792694892,0.004959405521330146,0.9987831956181228,0.0010340721591764546,0.0009064042114909457,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.05,0.8,fixed_refine_all,5,0.4216517857142857,0.002146806256882972,0.0018817586521655831,0.017048588563853495,0.010142221118487525,0.008890048778598645,0.4290178571428571,0.006488590113280628,0.0056874999999999894,0.9829514114361464,0.010142221118487553,0.00889004877859867,384.4,5.813776741499453,5.095999999999999,0.7435267857142857,0.00973288516992098,0.008531250000000016,0.5671455554254244,0.004736846553031754,0.004152029069493309,0.0,0.0,0.0,0.5709821428571428,0.006488590113280668,0.005687500000000024,0.9832589285714286,0.00579927725748507,0.005083290641897225,0.9989131561633364,0.0009455928309716601,0.0008288486608429273,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.05,0.8,witt_context_style,5,0.4216517857142857,0.002146806256882972,0.0018817586521655831,0.017048588563853495,0.010142221118487525,0.008890048778598645,0.4290178571428571,0.006488590113280628,0.0056874999999999894,0.9829514114361464,0.010142221118487553,0.00889004877859867,384.4,5.813776741499453,5.095999999999999,0.6577232142857143,0.00843516714726479,0.007393749999999962,0.6411299492446813,0.005190736697668416,0.004549881322841426,0.0,0.0,0.0,0.5709821428571428,0.006488590113280668,0.005687500000000024,0.9832589285714286,0.00579927725748507,0.005083290641897225,0.9989131561633364,0.0009455928309716601,0.0008288486608429273,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
