row_type,task,target_openout,resource_budget,method,n_seeds,semantic_goodput_mean,semantic_goodput_std,semantic_goodput_ci95,accepted_open_outage_mean,accepted_open_outage_std,accepted_open_outage_ci95,coverage_mean,coverage_std,coverage_ci95,accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_known_accuracy_ci95,accepted_mean,accepted_std,accepted_ci95,resource_per_sample_mean,resource_per_sample_std,resource_per_sample_ci95,goodput_per_resource_mean,goodput_per_resource_std,goodput_per_resource_ci95,latency_per_sample_mean,latency_per_sample_std,latency_per_sample_ci95,goodput_per_latency_mean,goodput_per_latency_std,goodput_per_latency_ci95,retransmission_rate_mean,retransmission_rate_std,retransmission_rate_ci95,refine_rate_mean,refine_rate_std,refine_rate_ci95,reject_rate_mean,reject_rate_std,reject_rate_ci95,accuracy_mean,accuracy_std,accuracy_ci95,auroc_mean,auroc_std,auroc_ci95,fpr95_mean,fpr95_std,fpr95_ci95
ablation,deepsense-exact,0.05,0.6,opensemcom_no_channel,5,0.008450704225352112,0.011571603327573933,0.010142957526454287,0.04,0.08944271909999159,0.0784,0.009859154929577464,0.014603127713611072,0.012800205810684211,0.5599999999999999,0.5176871642217914,0.4537728065893768,1.4,2.073644135332772,1.8176292251171577,0.11084507042253519,0.01606344048497218,0.014080226391752633,0.06675292790551077,0.08290281341817748,0.0726675199209784,0.20788732394366197,0.011682502170888863,0.010240164648547373,0.03838998816167765,0.050542751502299685,0.04430267502657651,0.0,0.0,0.0,0.0,0.0,0.0,0.9901408450704225,0.014603127713611051,0.012800205810684192,0.4873239436619718,0.04207709646842158,0.03688220121568914,0.6989071661907664,0.036843633541186895,0.032294868701384594,0.8054090354090354,0.04290385287659305,0.03760688515925508
ablation,deepsense-exact,0.05,0.6,opensemcom_receiver_only,5,0.0028169014084507044,0.006298783035210675,0.00552112676056338,0.0,0.0,0.0,0.0028169014084507044,0.006298783035210675,0.00552112676056338,0.2,0.4472135954999579,0.39199999999999996,0.4,0.8944271909999159,0.7839999999999999,0.10309859154929576,0.006928661338731734,0.006073239436619709,0.024390243902439025,0.05453824335365341,0.04780487804878049,0.20225352112676057,0.005039026428168533,0.004416901408450698,0.013333333333333332,0.029814239699997195,0.02613333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.9971830985915492,0.0062987830352106665,0.005521126760563372,0.504225352112676,0.048688411316742564,0.04267727418891691,0.686525394136088,0.04914167730541006,0.04307457934543619,0.8093861358783867,0.05996147565662383,0.05255855075496861
OpenSemCom,deepsense-exact,0.05,0.8,opensemcom_progressive,5,0.009859154929577466,0.011783944035691205,0.010329082363488626,0.0,0.0,0.0,0.009859154929577466,0.011783944035691205,0.010329082363488626,0.6,0.5477225575051661,0.4800999895855029,1.4,1.6733200530681511,1.466729695615385,0.10887323943661972,0.010605549632122081,0.009296174127139761,0.08318885333730189,0.09474639883097996,0.0830488802564761,0.20788732394366197,0.00942715522855296,0.008263265890790898,0.04549910409802901,0.05312603698743174,0.04656702459099368,0.0,0.0,0.0,0.0,0.0,0.0,0.9901408450704225,0.011783944035691189,0.010329082363488612,0.4915492957746479,0.029627723898538905,0.0259698450250454,0.6922263329079694,0.016753473706277222,0.014685067178064554,0.7444029782645767,0.0743434687262344,0.065164923503956
best_comparison,deepsense-exact,0.05,0.8,fixed_refine_all,5,0.014084507042253521,0.016515548450082497,0.014476516495869696,0.02857142857142857,0.06388765649999399,0.056,0.015492957746478872,0.019541460458467053,0.01712884531418456,0.7714285714285715,0.43565573377076877,0.381869087515604,2.2,2.7748873851023217,2.432296034614208,0.1232394366197183,0.029312190687700586,0.025693267971276846,0.09731651691127478,0.0912276089876778,0.07996452496751759,0.21239436619718308,0.015633168366773628,0.013703076251347637,0.06232608111737845,0.068024383247258,0.05962600086679977,0.0,0.0,0.0,0.0,0.0,0.0,0.9845070422535211,0.019541460458467077,0.017128845314184585,0.4577464788732394,0.035561637106908725,0.03117114928119293,0.7179658951536592,0.06996914562759701,0.061330660252748526,0.7616662570679168,0.08392216417222423,0.07356102025193235
ablation,deepsense-exact,0.05,0.8,opensemcom_no_channel,5,0.008450704225352112,0.011571603327573933,0.010142957526454287,0.04,0.08944271909999159,0.0784,0.009859154929577464,0.014603127713611072,0.012800205810684211,0.5599999999999999,0.5176871642217914,0.4537728065893768,1.4,2.073644135332772,1.8176292251171577,0.11084507042253519,0.01606344048497218,0.014080226391752633,0.06675292790551077,0.08290281341817748,0.0726675199209784,0.20788732394366197,0.011682502170888863,0.010240164648547373,0.03838998816167765,0.050542751502299685,0.04430267502657651,0.0,0.0,0.0,0.0,0.0,0.0,0.9901408450704225,0.014603127713611051,0.012800205810684192,0.4873239436619718,0.04207709646842158,0.03688220121568914,0.6989071661907664,0.036843633541186895,0.032294868701384594,0.8054090354090354,0.04290385287659305,0.03760688515925508
ablation,deepsense-exact,0.05,0.8,opensemcom_receiver_only,5,0.0028169014084507044,0.006298783035210675,0.00552112676056338,0.0,0.0,0.0,0.0028169014084507044,0.006298783035210675,0.00552112676056338,0.2,0.4472135954999579,0.39199999999999996,0.4,0.8944271909999159,0.7839999999999999,0.10309859154929576,0.006928661338731734,0.006073239436619709,0.024390243902439025,0.05453824335365341,0.04780487804878049,0.20225352112676057,0.005039026428168533,0.004416901408450698,0.013333333333333332,0.029814239699997195,0.02613333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.9971830985915492,0.0062987830352106665,0.005521126760563372,0.504225352112676,0.048688411316742564,0.04267727418891691,0.686525394136088,0.04914167730541006,0.04307457934543619,0.8093861358783867,0.05996147565662383,0.05255855075496861
OpenSemCom,deepsense-exact,0.05,1.0,opensemcom_progressive,5,0.009859154929577466,0.011783944035691205,0.010329082363488626,0.0,0.0,0.0,0.009859154929577466,0.011783944035691205,0.010329082363488626,0.6,0.5477225575051661,0.4800999895855029,1.4,1.6733200530681511,1.466729695615385,0.10887323943661972,0.010605549632122081,0.009296174127139761,0.08318885333730189,0.09474639883097996,0.0830488802564761,0.20788732394366197,0.00942715522855296,0.008263265890790898,0.04549910409802901,0.05312603698743174,0.04656702459099368,0.0,0.0,0.0,0.0,0.0,0.0,0.9901408450704225,0.011783944035691189,0.010329082363488612,0.4915492957746479,0.029627723898538905,0.0259698450250454,0.6922263329079694,0.016753473706277222,0.014685067178064554,0.7444029782645767,0.0743434687262344,0.065164923503956
best_comparison,deepsense-exact,0.05,1.0,fixed_refine_all,5,0.014084507042253521,0.016515548450082497,0.014476516495869696,0.02857142857142857,0.06388765649999399,0.056,0.015492957746478872,0.019541460458467053,0.01712884531418456,0.7714285714285715,0.43565573377076877,0.381869087515604,2.2,2.7748873851023217,2.432296034614208,0.1232394366197183,0.029312190687700586,0.025693267971276846,0.09731651691127478,0.0912276089876778,0.07996452496751759,0.21239436619718308,0.015633168366773628,0.013703076251347637,0.06232608111737845,0.068024383247258,0.05962600086679977,0.0,0.0,0.0,0.0,0.0,0.0,0.9845070422535211,0.019541460458467077,0.017128845314184585,0.4577464788732394,0.035561637106908725,0.03117114928119293,0.7179658951536592,0.06996914562759701,0.061330660252748526,0.7616662570679168,0.08392216417222423,0.07356102025193235
ablation,deepsense-exact,0.05,1.0,opensemcom_no_channel,5,0.008450704225352112,0.011571603327573933,0.010142957526454287,0.04,0.08944271909999159,0.0784,0.009859154929577464,0.014603127713611072,0.012800205810684211,0.5599999999999999,0.5176871642217914,0.4537728065893768,1.4,2.073644135332772,1.8176292251171577,0.11084507042253519,0.01606344048497218,0.014080226391752633,0.06675292790551077,0.08290281341817748,0.0726675199209784,0.20788732394366197,0.011682502170888863,0.010240164648547373,0.03838998816167765,0.050542751502299685,0.04430267502657651,0.0,0.0,0.0,0.0,0.0,0.0,0.9901408450704225,0.014603127713611051,0.012800205810684192,0.4873239436619718,0.04207709646842158,0.03688220121568914,0.6989071661907664,0.036843633541186895,0.032294868701384594,0.8054090354090354,0.04290385287659305,0.03760688515925508
ablation,deepsense-exact,0.05,1.0,opensemcom_receiver_only,5,0.0028169014084507044,0.006298783035210675,0.00552112676056338,0.0,0.0,0.0,0.0028169014084507044,0.006298783035210675,0.00552112676056338,0.2,0.4472135954999579,0.39199999999999996,0.4,0.8944271909999159,0.7839999999999999,0.10309859154929576,0.006928661338731734,0.006073239436619709,0.024390243902439025,0.05453824335365341,0.04780487804878049,0.20225352112676057,0.005039026428168533,0.004416901408450698,0.013333333333333332,0.029814239699997195,0.02613333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.9971830985915492,0.0062987830352106665,0.005521126760563372,0.504225352112676,0.048688411316742564,0.04267727418891691,0.686525394136088,0.04914167730541006,0.04307457934543619,0.8093861358783867,0.05996147565662383,0.05255855075496861
OpenSemCom,deepsense-sector,0.05,0.3,opensemcom_progressive,5,0.004580152671755725,0.010241532721373082,0.008977099236641221,0.0,0.0,0.0,0.004580152671755725,0.010241532721373082,0.008977099236641221,0.2,0.4472135954999579,0.39199999999999996,0.6,1.3416407864998738,1.176,0.10412213740458016,0.009217379449235777,0.0080793893129771,0.03797468354430379,0.08491397382910593,0.07443037974683543,0.20366412213740456,0.008193226177098464,0.007181679389312974,0.02097902097902098,0.0469105170104851,0.041118881118881116,0.0,0.0,0.0,0.0,0.0,0.0,0.9954198473282443,0.0102415327213731,0.008977099236641237,0.9099236641221374,0.01975905206953402,0.017319572770586898,0.8336700076738875,0.059049480138345566,0.05175915143714283,0.5721988609844303,0.21556477762525683,0.18895085855928237
best_comparison,deepsense-sector,0.05,0.3,dino_detector,5,0.0061068702290076335,0.009952980771301754,0.008724172300684572,0.0,0.0,0.0,0.0061068702290076335,0.009952980771301754,0.008724172300684572,0.4,0.5477225575051661,0.4800999895855029,0.8,1.3038404810405297,1.1428665713896788,0.10549618320610687,0.00895768269417158,0.007851755070616116,0.05226039783001808,0.08291292068613036,0.0726763793319565,0.20488549618320612,0.007962384617041402,0.006979337840547655,0.028386428386428388,0.045677616402207265,0.040038196087593965,0.0,0.0,0.0,0.0,0.0,0.0,0.9938931297709924,0.009952980771301771,0.008724172300684585,0.9099236641221374,0.01975905206953402,0.017319572770586898,0.8336700076738875,0.059049480138345566,0.05175915143714283,0.5721988609844303,0.21556477762525683,0.18895085855928237
ablation,deepsense-sector,0.05,0.3,opensemcom_no_channel,5,0.00916030534351145,0.008362176450460551,0.007329770833366457,0.0,0.0,0.0,0.00916030534351145,0.008362176450460551,0.007329770833366457,0.8,0.4472135954999579,0.39199999999999996,1.2,1.0954451150103321,0.9601999791710057,0.11007633587786261,0.009198394095506598,0.008062747916703094,0.0788388869804191,0.06569317841553508,0.05758260973730208,0.20732824427480917,0.00668974116036844,0.005863816666693163,0.0432012432012432,0.038034432747639374,0.033338650226871366,0.0,0.0,0.0,0.0,0.0,0.0,0.9908396946564885,0.008362176450460565,0.007329770833366469,0.9083969465648855,0.02019657489362282,0.01770307843492403,0.8305125589765948,0.11414759912015905,0.10005478211161976,0.5202652105456024,0.26796718773613554,0.23488359622683924
ablation,deepsense-sector,0.05,0.3,opensemcom_receiver_only,5,0.0015267175572519084,0.003413844240457694,0.0029923664122137403,0.0,0.0,0.0,0.0015267175572519084,0.003413844240457694,0.0029923664122137403,0.2,0.4472135954999579,0.39199999999999996,0.2,0.4472135954999579,0.39199999999999996,0.10167938931297708,0.00375522866450346,0.003291603053435111,0.014084507042253521,0.03149391517605338,0.0276056338028169,0.20122137404580154,0.002731075392366155,0.002393893129770992,0.007407407407407407,0.01656346649999844,0.014518518518518516,0.0,0.0,0.0,0.0,0.0,0.0,0.9984732824427482,0.0034138442404577,0.002992366412213745,0.9099236641221374,0.013655376961830765,0.011969465648854951,0.8454591399919054,0.07841531008837035,0.06873404982305388,0.4164303676222465,0.131755262150174,0.11548857924394891
OpenSemCom,deepsense-sector,0.05,0.45,opensemcom_progressive,5,0.004580152671755725,0.010241532721373082,0.008977099236641221,0.0,0.0,0.0,0.004580152671755725,0.010241532721373082,0.008977099236641221,0.2,0.4472135954999579,0.39199999999999996,0.6,1.3416407864998738,1.176,0.10412213740458016,0.009217379449235777,0.0080793893129771,0.03797468354430379,0.08491397382910593,0.07443037974683543,0.20366412213740456,0.008193226177098464,0.007181679389312974,0.02097902097902098,0.0469105170104851,0.041118881118881116,0.0,0.0,0.0,0.0,0.0,0.0,0.9954198473282443,0.0102415327213731,0.008977099236641237,0.9099236641221374,0.01975905206953402,0.017319572770586898,0.8336700076738875,0.059049480138345566,0.05175915143714283,0.5721988609844303,0.21556477762525683,0.18895085855928237
best_comparison,deepsense-sector,0.05,0.45,dino_detector,5,0.0061068702290076335,0.009952980771301754,0.008724172300684572,0.0,0.0,0.0,0.0061068702290076335,0.009952980771301754,0.008724172300684572,0.4,0.5477225575051661,0.4800999895855029,0.8,1.3038404810405297,1.1428665713896788,0.10549618320610687,0.00895768269417158,0.007851755070616116,0.05226039783001808,0.08291292068613036,0.0726763793319565,0.20488549618320612,0.007962384617041402,0.006979337840547655,0.028386428386428388,0.045677616402207265,0.040038196087593965,0.0,0.0,0.0,0.0,0.0,0.0,0.9938931297709924,0.009952980771301771,0.008724172300684585,0.9099236641221374,0.01975905206953402,0.017319572770586898,0.8336700076738875,0.059049480138345566,0.05175915143714283,0.5721988609844303,0.21556477762525683,0.18895085855928237
ablation,deepsense-sector,0.05,0.45,opensemcom_no_channel,5,0.00916030534351145,0.008362176450460551,0.007329770833366457,0.0,0.0,0.0,0.00916030534351145,0.008362176450460551,0.007329770833366457,0.8,0.4472135954999579,0.39199999999999996,1.2,1.0954451150103321,0.9601999791710057,0.11007633587786261,0.009198394095506598,0.008062747916703094,0.0788388869804191,0.06569317841553508,0.05758260973730208,0.20732824427480917,0.00668974116036844,0.005863816666693163,0.0432012432012432,0.038034432747639374,0.033338650226871366,0.0,0.0,0.0,0.0,0.0,0.0,0.9908396946564885,0.008362176450460565,0.007329770833366469,0.9083969465648855,0.02019657489362282,0.01770307843492403,0.8305125589765948,0.11414759912015905,0.10005478211161976,0.5202652105456024,0.26796718773613554,0.23488359622683924
ablation,deepsense-sector,0.05,0.45,opensemcom_receiver_only,5,0.0015267175572519084,0.003413844240457694,0.0029923664122137403,0.0,0.0,0.0,0.0015267175572519084,0.003413844240457694,0.0029923664122137403,0.2,0.4472135954999579,0.39199999999999996,0.2,0.4472135954999579,0.39199999999999996,0.10167938931297708,0.00375522866450346,0.003291603053435111,0.014084507042253521,0.03149391517605338,0.0276056338028169,0.20122137404580154,0.002731075392366155,0.002393893129770992,0.007407407407407407,0.01656346649999844,0.014518518518518516,0.0,0.0,0.0,0.0,0.0,0.0,0.9984732824427482,0.0034138442404577,0.002992366412213745,0.9099236641221374,0.013655376961830765,0.011969465648854951,0.8454591399919054,0.07841531008837035,0.06873404982305388,0.4164303676222465,0.131755262150174,0.11548857924394891
OpenSemCom,deepsense-sector,0.05,0.6,opensemcom_progressive,5,0.3893129770992366,0.2234047423917847,0.19582289066967293,0.011125541125541125,0.01715263833948614,0.015034950405659567,0.39541984732824426,0.22858740069229322,0.20036569096519644,0.788874458874459,0.44128385698916595,0.3868023550276197,51.8,29.944949490690412,26.247905516440735,0.4558778625954199,0.2057286606230639,0.1803291218686768,0.714051459791156,0.3993219200602886,0.3500210955989325,0.5163358778625954,0.18286992055383458,0.16029255277215715,0.65260935233525,0.36546155494944005,0.32034117697165126,0.0,0.0,0.0,0.0,0.0,0.0,0.6045801526717558,0.22858740069229322,0.20036569096519644,0.9114503816793892,0.0102415327213731,0.008977099236641237,0.8280692009582611,0.09454250292209224,0.08287015761233413,0.47811131344259233,0.2867834243861171,0.25137675484503125
best_comparison,deepsense-sector,0.05,0.6,dino_detector,5,0.08702290076335878,0.17776592071770922,0.1558186996605933,0.0,0.0,0.0,0.08702290076335878,0.17776592071770922,0.1558186996605933,0.6,0.5477225575051661,0.4800999895855029,11.4,23.28733561401991,20.412249655537725,0.1783206106870229,0.1599893286459383,0.14023682969453397,0.22660250309317598,0.3688799686967508,0.3233375487332203,0.269618320610687,0.14221273657416736,0.12465495972847464,0.1829053788237462,0.3324174665373363,0.29137675641761224,0.0,0.0,0.0,0.0,0.0,0.0,0.9129770992366412,0.17776592071770922,0.1558186996605933,0.9099236641221374,0.01975905206953402,0.017319572770586898,0.8336700076738875,0.059049480138345566,0.05175915143714283,0.5721988609844303,0.21556477762525683,0.18895085855928237
ablation,deepsense-sector,0.05,0.6,opensemcom_no_channel,5,0.00916030534351145,0.008362176450460551,0.007329770833366457,0.0,0.0,0.0,0.00916030534351145,0.008362176450460551,0.007329770833366457,0.8,0.4472135954999579,0.39199999999999996,1.2,1.0954451150103321,0.9601999791710057,0.11007633587786261,0.009198394095506598,0.008062747916703094,0.0788388869804191,0.06569317841553508,0.05758260973730208,0.20732824427480917,0.00668974116036844,0.005863816666693163,0.0432012432012432,0.038034432747639374,0.033338650226871366,0.0,0.0,0.0,0.0,0.0,0.0,0.9908396946564885,0.008362176450460565,0.007329770833366469,0.9083969465648855,0.02019657489362282,0.01770307843492403,0.8305125589765948,0.11414759912015905,0.10005478211161976,0.5202652105456024,0.26796718773613554,0.23488359622683924
ablation,deepsense-sector,0.05,0.6,opensemcom_receiver_only,5,0.0015267175572519084,0.003413844240457694,0.0029923664122137403,0.0,0.0,0.0,0.0015267175572519084,0.003413844240457694,0.0029923664122137403,0.2,0.4472135954999579,0.39199999999999996,0.2,0.4472135954999579,0.39199999999999996,0.10167938931297708,0.00375522866450346,0.003291603053435111,0.014084507042253521,0.03149391517605338,0.0276056338028169,0.20122137404580154,0.002731075392366155,0.002393893129770992,0.007407407407407407,0.01656346649999844,0.014518518518518516,0.0,0.0,0.0,0.0,0.0,0.0,0.9984732824427482,0.0034138442404577,0.002992366412213745,0.9099236641221374,0.013655376961830765,0.011969465648854951,0.8454591399919054,0.07841531008837035,0.06873404982305388,0.4164303676222465,0.131755262150174,0.11548857924394891
OpenSemCom,deepsense-sector,0.05,0.8,opensemcom_progressive,5,0.4534351145038168,0.2666079029322828,0.23369213056373792,0.014533780825915657,0.01998767623853042,0.01751997069039164,0.4625954198473282,0.27356588993620673,0.23979107507925287,0.7854662191740844,0.43946856177485377,0.38521117861623433,60.6,35.837131581643085,31.412630835382128,0.5364885496183207,0.2633717222176021,0.23085549309806191,0.7039466799234514,0.39559551677132376,0.3467547591011765,0.5993893129770992,0.24672813823580775,0.2162667485104346,0.650182954494378,0.36784935782001477,0.32243417846955713,0.024427480916030534,0.05462150784732311,0.047877862595419846,0.024427480916030534,0.05462150784732311,0.047877862595419846,0.5374045801526718,0.27356588993620673,0.23979107507925287,0.9083969465648855,0.015267175572519068,0.013382269422594146,0.8231076127704894,0.07855244787636899,0.06885425639422346,0.5386655702125125,0.33213960153052113,0.2911331970004399
