accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_mean,accepted_open_outage_mean,accepted_open_outage_std,accepted_std,auroc_mean,auroc_std,backbone,calibration_settings_used,coverage_mean,coverage_std,detector_control,fpr95_mean,fpr95_std,goodput_per_resource_proxy_mean,goodput_per_resource_proxy_std,method,refine_rate_mean,refine_rate_std,reject_rate_mean,reject_rate_std,requested_openout,resource_units_proxy_mean,resource_units_proxy_std,seeds,semantic_goodput_mean,semantic_goodput_std,severity
0.9636266990410939,0.010359888877210713,393.6666666666667,0.036373300958906195,0.010359888877210677,2.0816659994661326,0.9997151692708334,0.0001566866231358415,SigLIP2,openout<=0.05,0.43936011904761907,0.002323287945832725,best_ood:one_vs_rest,0.0,0.0,0.4843198685718142,0.28879156727842525,siglip2_best_ood,0.37834821428571425,0.3179941925901256,0.18229166666666666,0.3157384284630766,openout<=0.05,952.4000000000001,425.5649891614676,3,0.4233630952380953,0.0023232879458327557,medium
0.9681405803783395,0.017418777946081054,394.3333333333333,0.031859419621660535,0.017418777946081047,9.073771725877467,0.9991624620225695,0.0005138468383289311,dino+siglip2+openclip,openout<=0.05,0.4401041666666667,0.010126977372631107,learned_risk_head_only,0.0026041666666666665,0.0026041666666666665,0.6649160588598201,0.2987068026589125,opensemcom_risk_head,0.19122023809523805,0.3128432691616305,0.3686755952380952,0.31942333447668747,openout<=0.05,701.5,425.73734860827045,3,0.42596726190476186,0.002808718167883439,medium
0.9715804608787976,0.021338631495331686,393.3333333333333,0.02841953912120247,0.02133863149533172,10.969655114602888,0.9994998508029515,0.0004919321826513095,dino+siglip2+openclip,openout<=0.05,0.4389880952380952,0.012242918654690724,mixed_open_calibration,0.0008680555555555555,0.0015035163260146505,0.5042321301864905,0.3169929538989504,opensemcom_calibrated,0.3701636904761905,0.3186502830635352,0.1908482142857143,0.3305588036766496,openout<=0.05,941.1,437.86501344592494,3,0.42633928571428575,0.0029528474453845667,medium
0.9913484411590536,0.0014356634357198237,385.0,0.008651558840946408,0.0014356634357198562,2.6457513110645907,0.9966218736436631,0.0009658354568136863,dino+siglip2+openclip,openout<=0.01;openout<=0.02;openout<=0.05,0.4296875,0.0029528474453845983,semantic_harq_refine,0.0008680555555555555,0.0015035163260146505,0.8633293346317436,0.007918789899876526,opensemcom_harq_refine,0.004464285714285714,0.002952847445384588,0.5658482142857143,0.0019330924191616383,openout<=0.05,442.1000000000001,2.5632011235952437,3,0.42596726190476186,0.0023232879458327245,medium
0.9783067298073608,0.012189253113654045,260.0,0.02169327019263921,0.01218925311365403,3.605551275463989,0.9972398546006945,0.0016180579720857713,dino+siglip2+openclip,openout<=0.01;openout<=0.02;openout<=0.05,0.25390625,0.003521046167445302,learned_selective_risk+semantic_harq_refine,0.0,0.0,0.7449684968946291,0.002906686826073218,opensemcom,0.0032552083333333335,0.002255274489021976,0.7428385416666666,0.0014917238590351043,openout<=0.05,341.40000000000003,0.9643650760992997,3,0.24837239583333334,0.0014917238590351043,hard
0.9770954084277149,0.016988811854954967,258.6666666666667,0.022904591572285166,0.016988811854954967,6.658328118479393,0.9999016655815972,5.220134927826845e-05,DINOv3,openout<=0.01;openout<=0.05,0.2526041666666667,0.006502273553202533,one_vs_rest,0.0,0.0,0.5525843246880938,0.32922635951340573,dino_one_vs_rest,0.24967447916666666,0.4248398572606154,0.4977213541666667,0.4310396132766737,openout<=0.05,718.7000000000002,658.2660632297551,3,0.24674479166666666,0.0020328769526036456,hard
0.9812969204287388,0.025948581518715277,258.6666666666667,0.018703079571261192,0.025948581518715246,9.60902353693305,0.999815199110243,0.0001643684216053319,OpenCLIP-DFN5B,openout<=0.01;openout<=0.05,0.2526041666666667,0.009383812047786181,best_ood:one_vs_rest,0.0,0.0,0.5546366720979986,0.33034074931032437,openclip_best_ood,0.24934895833333334,0.422589109756046,0.498046875,0.43132235155074633,openout<=0.05,718.1999999999999,657.1403503057775,3,0.24772135416666666,0.003139209232094061,hard
0.9769742259552042,0.019831249284103555,257.6666666666667,0.023025774044795787,0.019831249284103583,5.686240703077327,0.9997914632161459,9.703971368577286e-05,SigLIP2,openout<=0.01;openout<=0.05,0.2516276041666667,0.005552969436598952,best_ood:one_vs_rest,0.0,0.0,0.7171917409956506,0.029007065117415246,siglip2_best_ood,0.011067708333333334,0.006502273553202533,0.7373046875,0.012000200905707527,openout<=0.05,351.3,15.042938542718296,3,0.24576822916666666,0.002457628396898031,hard
0.9718083963601449,0.009448031423121195,259.6666666666667,0.028191603639855022,0.009448031423121235,2.0816659994661326,0.9988030327690973,0.0009981567099527208,dino+siglip2+openclip,openout<=0.01;openout<=0.02;openout<=0.05,0.2535807291666667,0.002032876952603645,learned_risk_head_only,0.0013020833333333333,0.002255274489021976,0.7281114910839376,0.010069496911406134,opensemcom_risk_head,0.0068359375,0.001953125,0.7395833333333334,0.003697205954297053,openout<=0.05,346.6000000000001,4.5398237851264565,3,0.24641927083333334,0.000563818622255494,hard
0.985747777831007,0.008946687852860926,256.6666666666667,0.014252222168993077,0.008946687852860895,1.5275252316519465,0.9993726942274305,0.0006968242214946289,dino+siglip2+openclip,openout<=0.01;openout<=0.05,0.2506510416666667,0.001491723859035104,mixed_open_calibration,0.0,0.0,0.7390193259102705,0.012955766507408265,opensemcom_calibrated,0.005859375,0.0025837415147115144,0.7434895833333334,0.003429574789340084,openout<=0.05,342.3999999999999,4.657252408878011,3,0.2470703125,0.0009765625,hard
